feature,threshold,direction,precision,recall,f1,tp,fp,tn,fn,false_positive_rate,percentile
max_prob,0.025603327527642203,<=,0.7611940298507462,0.8010471204188482,0.7806122448979592,153,48,1770,38,2.6402640264026402,10
local_concentration,0.44429002404212947,<=,0.7512437810945274,0.7905759162303665,0.7704081632653061,151,50,1768,40,2.7502750275027505,10
prediction_variance,3.401759968255647e-05,<=,0.746268656716418,0.7853403141361257,0.7653061224489798,150,51,1767,41,2.8052805280528053,10
entropy,4.52954158782959,>=,0.7213930348258707,0.7591623036649214,0.7397959183673469,145,56,1762,46,3.08030803080308,10
max_prob,0.035275872051715784,<=,0.5960264900662252,0.9424083769633508,0.7302231237322516,180,122,1696,11,6.710671067106711,15
prediction_variance,4.9280065286438916e-05,<=,0.5927152317880795,0.93717277486911,0.7261663286004056,179,123,1695,12,6.765676567656766,15
local_concentration,0.5724286317825318,<=,0.5927152317880795,0.93717277486911,0.7261663286004056,179,123,1695,12,6.765676567656766,15
max_prob,0.01932733856141563,<=,0.851063829787234,0.6282722513089005,0.7228915662650602,120,21,1797,71,1.155115511551155,7
entropy,4.1756383895874025,>=,0.5860927152317881,0.9267015706806283,0.718052738336714,177,125,1693,14,6.875687568756876,15
local_concentration,0.3519785940647125,<=,0.8368794326241135,0.6178010471204188,0.7108433734939759,118,23,1795,73,1.2651265126512652,7
prediction_variance,2.2801547165727245e-05,<=,0.8226950354609929,0.6073298429319371,0.6987951807228916,116,25,1793,75,1.3751375137513753,7
entropy,4.816480407714844,>=,0.7801418439716312,0.5759162303664922,0.6626506024096386,110,31,1787,81,1.7051705170517053,7
max_prob,0.04215480536222456,<=,0.4651741293532338,0.9790575916230366,0.6306913996627318,187,215,1603,4,11.826182618261827,20
prediction_variance,6.095806456869469e-05,<=,0.4651741293532338,0.9790575916230366,0.6306913996627318,187,215,1603,4,11.826182618261827,20
entropy,3.989166736602783,>=,0.4626865671641791,0.9738219895287958,0.627318718381113,186,216,1602,5,11.881188118811881,20
local_concentration,0.6396411538124085,<=,0.4626865671641791,0.9738219895287958,0.627318718381113,186,216,1602,5,11.881188118811881,20
max_prob,0.01585036180913444,<=,0.8415841584158416,0.44502617801047123,0.5821917808219178,85,16,1802,106,0.88008800880088,5
local_concentration,0.29198387265205383,<=,0.8316831683168316,0.4397905759162304,0.5753424657534246,84,17,1801,107,0.935093509350935,5
prediction_variance,1.70032635651296e-05,<=,0.8118811881188119,0.4293193717277487,0.5616438356164384,82,19,1799,109,1.0451045104510452,5
entropy,5.006997108459472,>=,0.801980198019802,0.42408376963350786,0.5547945205479452,81,20,1798,110,1.1001100110011002,5
max_prob,0.0474753975868225,<=,0.3757455268389662,0.9895287958115183,0.5446685878962536,189,314,1504,2,17.27172717271727,25
prediction_variance,7.009152614045888e-05,<=,0.3757455268389662,0.9895287958115183,0.5446685878962536,189,314,1504,2,17.27172717271727,25
local_concentration,0.692699670791626,<=,0.3757455268389662,0.9895287958115183,0.5446685878962536,189,314,1504,2,17.27172717271727,25
entropy,3.872226238250733,>=,0.37375745526838966,0.9842931937172775,0.5417867435158502,188,315,1503,3,17.326732673267326,25
local_concentration,0.26249540805816657,<=,0.8641975308641975,0.36649214659685864,0.5147058823529412,70,11,1807,121,0.605060506050605,4
max_prob,0.014301082380115905,<=,0.8518518518518519,0.3612565445026178,0.5073529411764706,69,12,1806,122,0.6600660066006601,4
prediction_variance,1.4482679580396507e-05,<=,0.8271604938271605,0.3507853403141361,0.4926470588235294,67,14,1804,124,0.77007700770077,4
max_prob,0.05195755213499064,<=,0.3150912106135987,0.9947643979057592,0.4785894206549119,190,413,1405,1,22.717271727172715,30
entropy,3.7932804107666014,>=,0.3150912106135987,0.9947643979057592,0.4785894206549119,190,413,1405,1,22.717271727172715,30
prediction_variance,7.632106426171958e-05,<=,0.3150912106135987,0.9947643979057592,0.4785894206549119,190,413,1405,1,22.717271727172715,30
local_concentration,0.722489881515503,<=,0.3150912106135987,0.9947643979057592,0.4785894206549119,190,413,1405,1,22.717271727172715,30
entropy,5.1002994155883785,>=,0.8024691358024691,0.3403141361256545,0.4779411764705882,65,16,1802,126,0.88008800880088,4
max_prob,0.012929837517440267,<=,0.9344262295081968,0.29842931937172773,0.45238095238095244,57,4,1814,134,0.22002200220022,3
local_concentration,0.23904816031455994,<=,0.9344262295081968,0.29842931937172773,0.45238095238095244,57,4,1814,134,0.22002200220022,3
prediction_variance,1.2424266715242994e-05,<=,0.8852459016393442,0.28272251308900526,0.42857142857142855,54,7,1811,137,0.385038503850385,3
entropy,3.7198194026947022,>=,0.2716927453769559,1.0,0.4272930648769575,191,512,1306,0,28.16281628162816,35
prediction_variance,8.30010772915557e-05,<=,0.2716927453769559,1.0,0.4272930648769575,191,512,1306,0,28.16281628162816,35
local_concentration,0.753835654258728,<=,0.2716927453769559,1.0,0.4272930648769575,191,512,1306,0,28.16281628162816,35
max_prob,0.0552942924201488,<=,0.2702702702702703,0.9947643979057592,0.42505592841163303,190,513,1305,1,28.217821782178216,35
