energy,abs_error,is_failure
-2.6908853,1.0,False
-2.496313,2.0,False
-3.3810933,2.0,False
-2.8036425,2.0,False
-3.7597735,2.0,False
-3.163895,1.0,False
-3.3058257,1.0,False
-2.7602022,1.0,False
-3.253607,1.0,False
-1.9105835,5.0,False
-2.9393048,2.0,False
-2.6221411,2.0,False
-2.4813726,2.0,False
-2.4950342,2.0,False
-2.8027477,1.0,False
-3.2823954,1.0,False
-3.1009107,2.0,False
-2.910276,2.0,False
-3.0983038,2.0,False
-4.0082407,2.0,False
-2.8962834,2.0,False
-2.8841138,1.0,False
-2.6975636,2.0,False
-2.7194898,2.0,False
-2.9023468,2.0,False
-2.1751547,1.0,False
-2.3312032,1.0,False
-2.310271,2.0,False
-2.4272466,2.0,False
-2.7326045,1.0,False
-2.7083056,1.0,False
-2.8129573,1.0,False
-3.3804336,2.0,False
-3.1278522,1.0,False
-3.4257455,2.0,False
-3.3506289,1.0,False
-2.854581,1.0,False
-2.371137,1.0,False
-3.274245,2.0,False
-2.5465577,1.0,False
-3.6565938,2.0,False
-3.0575604,2.0,False
-2.9399679,2.0,False
-2.6567984,2.0,False
-2.8253613,1.0,False
-3.1899815,2.0,False
-2.3563266,1.0,False
-2.844019,1.0,False
-2.5911503,2.0,False
-2.6454275,2.0,False
-3.3463764,2.0,False
-2.8441677,1.0,False
-2.8606539,2.0,False
-3.176571,2.0,False
-3.314048,2.0,False
-2.9692543,1.0,False
-3.1293187,2.0,False
-3.1331062,2.0,False
-3.464814,1.0,False
-3.2015646,1.0,False
-2.5231764,1.0,False
-3.1963131,1.0,False
-2.8383195,1.0,False
-3.2459998,1.0,False
-3.5561655,2.0,False
-3.225339,1.0,False
-2.7205732,2.0,False
-2.8716311,2.0,False
-3.067442,1.0,False
-2.8798747,2.0,False
-1.5885798,8.0,False
-3.3120604,1.0,False
-2.7238152,1.0,False
-2.7839153,2.0,False
-2.8660405,2.0,False
-3.6921277,2.0,False
-2.803215,1.0,False
-3.465458,2.0,False
-2.7375867,2.0,False
-2.8399532,2.0,False
-2.858598,2.0,False
-2.591457,1.0,False
-2.469977,1.0,False
-3.256187,2.0,False
-3.0076206,1.0,False
-2.4694066,2.0,False
-3.5070736,2.0,False
-3.3601415,1.0,False
-3.3281133,1.0,False
-3.054866,2.0,False
-2.8911834,1.0,False
-2.9765084,1.0,False
-2.9016078,2.0,False
-3.3890219,1.0,False
-2.3753555,2.0,False
-2.3448622,2.0,False
-3.114612,2.0,False
-3.3314862,2.0,False
-3.0403938,2.0,False
-3.1185353,2.0,False
-3.00154,2.0,False
-3.429818,2.0,False
-2.6861112,1.0,False
-3.2990537,1.0,False
-2.6758459,1.0,False
-3.3634026,2.0,False
-3.4577234,1.0,False
-3.140746,1.0,False
-3.0847604,2.0,False
-3.3062842,2.0,False
-2.7970486,2.0,False
-3.5040925,2.0,False
-2.669243,2.0,False
-1.2383498,1.0,False
-3.479609,2.0,False
-3.2987082,2.0,False
-3.0008802,1.0,False
-2.653963,2.0,False
-2.8740432,2.0,False
-2.6132226,1.0,False
-2.6245704,1.0,False
-2.9658146,2.0,False
-3.3279681,2.0,False
-2.867288,2.0,False
-3.6777182,2.0,False
-3.6060658,2.0,False
-2.7278266,1.0,False
-3.170676,2.0,False
-3.435907,2.0,False
-3.2959812,1.0,False
-2.525265,2.0,False
-3.017412,2.0,False
-2.9953177,1.0,False
-3.0829985,1.0,False
-3.3237147,2.0,False
-2.9659972,2.0,False
-2.692976,1.0,False
-2.6453907,1.0,False
-3.1026819,2.0,False
-3.5874987,2.0,False
-3.4610307,2.0,False
-3.3408775,2.0,False
-3.0013068,1.0,False
-2.7005947,1.0,False
-2.8805032,1.0,False
-3.1008675,2.0,False
-3.5017004,3.5,False
-2.9542348,1.5,False
-3.083909,1.5,False
-1.0092407,43.5,True
-2.4423645,1.5,False
-3.4501848,1.5,False
-3.3122158,0.5,False
-2.924582,0.5,False
-2.5098262,0.5,False
-2.9921837,1.5,False
-2.2932131,1.5,False
-2.573259,0.5,False
-2.9505625,0.5,False
-3.3051074,3.5,False
-2.6718726,1.5,False
-2.5481217,0.5,False
-3.2458694,1.5,False
-2.948599,0.5,False
-3.241546,1.5,False
-2.6671472,1.5,False
-2.6258526,1.5,False
-2.225824,1.5,False
-2.9460478,1.5,False
-2.6726325,1.5,False
-2.333952,1.5,False
-3.2427297,2.5,False
-3.152631,1.5,False
-1.5784351,2.5,False
-2.6727765,1.5,False
-3.074494,3.5,False
-2.7000747,0.5,False
-2.6790547,3.5,False
-2.7102523,1.5,False
-2.0757174,2.5,False
-2.8441656,0.5,False
-2.7087722,1.5,False
-2.691599,1.5,False
-2.914065,1.5,False
-2.8732464,3.5,False
-2.400854,2.5,False
-3.1276984,1.5,False
-2.9666748,1.5,False
-3.4519007,3.5,False
-3.0274825,1.5,False
-2.4964383,1.5,False
-3.2307115,3.5,False
-2.5547214,3.5,False
-2.9538383,1.5,False
-2.7893739,0.5,False
-1.8901672,2.5,False
-3.1516788,3.5,False
-2.4066978,0.5,False
-2.6188564,1.5,False
-3.316889,1.5,False
-2.9041848,1.5,False
-2.942621,1.5,False
-2.5335329,1.5,False
-3.0156772,1.5,False
-2.4230492,1.5,False
-2.9581687,1.5,False
-2.8234024,1.5,False
-1.4770812,1.5,False
-2.5887904,1.5,False
-2.444675,1.5,False
-1.9896151,3.5,False
-3.246304,0.5,False
-2.9907463,1.5,False
-3.1141822,1.5,False
-3.2971287,3.5,False
-2.7026396,1.5,False
-2.4136887,1.5,False
-2.883211,1.5,False
-2.6314228,3.5,False
-1.4679236,2.5,False
-2.4461298,1.5,False
-2.2952185,1.5,False
-2.748624,1.5,False
-2.3545063,1.5,False
-2.7030284,1.5,False
-2.6596355,1.5,False
-3.1517096,1.5,False
-2.4145606,1.5,False
-3.111979,0.5,False
-3.0801873,3.5,False
-1.909776,1.5,False
-2.5066462,1.5,False
-2.323957,1.5,False
-3.2703097,2.5,False
-3.1089556,1.5,False
-3.2360158,1.5,False
-3.2117627,1.5,False
-2.9338913,1.5,False
-3.4853406,1.5,False
-1.5229332,0.5,False
-3.024751,3.5,False
-1.838025,1.5,False
-2.359708,2.5,False
-2.6113803,1.5,False
-2.096011,1.5,False
-3.094547,0.5,False
-2.991958,1.5,False
-2.7477486,1.5,False
-2.5448496,1.5,False
-2.9107192,1.5,False
-2.8304832,1.5,False
-2.383102,0.5,False
-2.3424313,1.5,False
-2.5855913,1.5,False
-3.0021665,1.5,False
-2.7132378,1.5,False
-2.937206,1.5,False
-2.8021467,1.5,False
-2.899954,1.5,False
-2.8085537,1.5,False
-2.880396,1.5,False
-2.7666419,1.5,False
-2.6313891,0.5,False
-3.31769,1.5,False
-3.062136,1.5,False
-2.5729272,0.5,False
-2.9478166,1.5,False
-3.0253506,1.5,False
-2.4181325,0.5,False
-2.7743244,1.5,False
-3.037625,1.5,False
-2.421203,0.5,False
-3.2619288,3.5,False
-2.4755664,3.5,False
-2.8389516,2.5,False
-3.1508157,3.5,False
-2.9753494,1.5,False
-2.5080736,1.5,False
-2.967651,1.5,False
-3.0516574,1.5,False
-1.82364,0.5,False
-2.7964098,1.5,False
-3.2772784,1.5,False
-1.8598723,2.5,False
-2.7885668,1.5,False
-2.6682417,1.5,False
-1.5148427,2.5,False
-2.993011,1.5,False
-3.0662217,1.5,False
-3.407607,1.5,False
-2.623383,1.5,False
-2.4561002,1.5,False
-2.4007607,1.5,False
-3.09478,0.5,False
-3.127856,3.5,False
-3.0074975,0.5,False
-2.9122126,1.5,False
-1.9631544,0.6775612528662407,False
-2.5765145,0.6775612528662407,False
-2.1554468,0.6775612528662407,False
-2.682145,0.6775612528662407,False
-2.3162453,0.6775612528662407,False
-4.0546684,3.1103632390000087,False
-3.8890612,3.1103632390000087,False
-4.1295767,2.1103632390000087,False
-3.0368283,3.1103632390000087,False
-4.298294,3.1103632390000087,False
-3.7959728,3.1103632390000087,False
-1.821622,5.2286628940887,False
-1.9685165,0.2286628940886999,False
-2.3529675,5.2286628940887,False
-1.9546051,0.22866289408864304,False
-2.6947403,8.2286628940887,False
-1.5672054,0.2286628940885862,False
-2.1243243,5.2286628940887,False
-2.1287246,8.2286628940887,False
-2.8479986,1.1118904509493746,False
-2.3761551,1.1118904509493746,False
-2.5989938,2.1118904509493746,False
-3.4360976,2.471999289256189,False
-2.4605188,0.4719992892562175,False
-2.8443277,2.471999289256189,False
-2.6743832,2.471999289256189,False
-2.3881977,0.4719992892562175,False
-2.0910223,1.471999289256189,False
-2.310686,1.471999289256189,False
-1.9918133,2.471999289256189,False
-2.9878337,2.4719992892562175,False
-2.7500403,1.471999289256189,False
-2.7832394,2.471999289256189,False
-1.867637,0.47199928925618906,False
-3.201973,3.0746376963788578,False
-2.7903214,2.0746376963788293,False
-3.2176697,2.0746376963788578,False
-3.2266588,3.0746376963788578,False
-3.2066257,3.0746376963788293,False
-3.1740313,2.0746376963788578,False
-3.3624694,2.0746376963788578,False
-3.3066275,2.0746376963788293,False
-2.930023,1.164044314115273,False
-1.5463886,3.164044314115273,False
-1.231018,2.164044314115273,False
-3.0507078,1.1640443141152446,False
-2.8348155,2.1640443141152446,False
-2.6141949,0.9430960483870763,False
-2.6568394,0.9430960483870479,False
-2.2747784,0.056903951612838455,False
-2.517281,0.9430960483871331,False
-2.5631778,2.9430960483870763,False
-3.1602304,1.3985945258102959,False
-2.8601487,0.39859452581029586,False
-3.0870962,0.39859452581029586,False
-3.1001334,0.39859452581026744,False
-3.0830998,1.3985945258102674,False
-1.8557206,0.7600875382374852,False
-2.0326207,0.7600875382374852,False
-2.372813,0.7600875382375136,False
-2.55127,3.7600875382375136,False
-2.5414658,3.7600875382375136,False
-2.0121975,0.7600875382374852,False
-1.2828864,0.7600875382375136,False
-2.4591415,0.2399124617625148,False
-2.4873798,0.7600875382374852,False
-2.641556,2.239912461762515,False
-2.3177383,0.7600875382375136,False
-2.165657,1.2399124617624864,False
-1.9720383,0.7600875382374852,False
-2.341777,0.5213098843930197,False
-2.6181827,0.5213098843930197,False
-2.3769135,0.5213098843930482,False
-2.4431176,0.5213098843930197,False
-2.1700375,1.1732906332862854,False
-1.7616262,1.8267093667137146,False
-2.9444962,1.1732906332862854,False
-2.0630026,0.8267093667137146,False
-2.7961166,0.8267093667137146,False
-2.8657427,1.8267093667137146,False
-2.9472282,3.3289448529411914,False
-3.2165625,2.81549585905222,False
-2.9377449,2.8154958590522483,False
-3.1201112,2.8154958590522483,False
-2.3863993,2.8154958590522483,False
-2.9898303,2.8154958590522483,False
-3.0961192,2.8154958590522483,False
-1.9596515,0.18450414094778012,False
-3.0027819,1.8402982359208977,False
-3.0573037,3.840298235920841,False
-2.539635,1.8402982359208693,False
-2.4835868,1.8402982359208693,False
-2.9183557,1.8402982359208693,False
-2.4482977,3.739491143518535,False
-3.27633,0.8441147915632996,False
-2.5298414,0.8441147915632996,False
-2.3810651,1.8441147915632996,False
-2.3940523,1.5934013616473521,False
-2.5464404,0.40659863835264787,False
-2.4386475,3.406598638352648,False
-2.640714,0.40659863835264787,False
-2.5155056,0.40659863835264787,False
-2.9883928,2.204895908633574,False
-3.0030992,2.204895908633574,False
-3.2116706,4.204895908633574,False
-2.9938748,2.204895908633574,False
-2.8535326,2.204895908633574,False
-2.68277,2.204895908633574,False
-2.948919,0.35802317411324225,False
-2.9659595,0.3580231741132991,False
-2.7798254,0.3580231741132138,False
-1.9771415,1.6419768258867293,False
-2.5916133,1.6419768258867578,False
-2.7314234,0.3580231741132991,False
-2.9954467,0.3580231741132991,False
-2.9412334,0.3580231741132138,False
-3.010638,0.8262305274387813,False
-2.926995,1.1737694725611902,False
-2.9015374,0.8262305274388098,False
-3.2947097,0.8262305274388098,False
-3.0826597,0.8262305274387813,False
-3.1519613,0.8262305274388098,False
-3.8014898,0.19174334733827436,False
-3.6597826,0.19174334733827436,False
-3.6742904,0.19174334733827436,False
-2.7087004,0.7651875824799959,False
-2.2703311,0.7651875824800527,False
-3.0872533,0.7651875824799674,False
-2.333613,0.7651875824800811,False
-3.5617435,0.7651875824800243,False
-2.8451827,0.7651875824799674,False
-2.4719737,0.7651875824799959,False
-2.5426383,0.7651875824799674,False
-2.7263258,0.7651875824799959,False
-2.7697692,0.7651875824799959,False
-2.9830391,0.7651875824799959,False
-3.4104664,0.7651875824800527,False
-3.455799,0.7651875824800527,False
-3.5844247,0.7651875824800527,False
-3.245444,0.7651875824799959,False
-2.974082,0.7651875824800811,False
-2.6406286,1.2348124175199473,False
-2.627254,0.7651875824799959,False
-2.8383062,0.7651875824800243,False
-2.8356411,1.7651875824800243,False
-2.7083411,0.7651875824799959,False
-2.8581145,0.7651875824800811,False
-2.3614268,0.7651875824799959,False
-2.6409411,0.7651875824799959,False
-2.4390802,0.7651875824800243,False
-2.976409,1.7651875824799959,False
-3.1939201,1.7651875824800527,False
-2.9610612,0.7651875824799959,False
