batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration
0,0,34.0,41.0,7.0,0,0.039358969777822495,4.065631866455078,5.608417632174678e-05,1.0378860235214233,0.6261541247367859
0,1,38.0,41.0,3.0,1,0.04594111815094948,3.8972878456115723,6.774560461053625e-05,1.0076175928115845,0.685505747795105
0,2,33.0,41.0,8.0,2,0.04683943837881088,3.8244881629943848,7.076212204992771e-05,1.009911060333252,0.7052749395370483
0,3,35.0,41.0,6.0,3,0.04216359928250313,4.013852119445801,6.0509359173011035e-05,1.010796070098877,0.6531980633735657
1,0,39.0,41.0,2.0,4,0.02638808824121952,4.490886688232422,3.469637158559635e-05,1.0110645294189453,0.4624577760696411
1,1,40.0,41.0,1.0,5,0.048363130539655685,3.872584819793701,6.911954551469535e-05,1.0524564981460571,0.6848281621932983
1,2,28.0,41.0,13.0,6,0.014239775948226452,5.258199214935303,1.1167490811203606e-05,1.0198760032653809,0.23357680439949036
1,3,38.0,41.0,3.0,7,0.05158022418618202,3.8213863372802734,7.342824392253533e-05,1.0284184217453003,0.7080358266830444
2,0,39.0,41.0,2.0,8,0.031046241521835327,4.370042324066162,4.041665670229122e-05,1.0620590448379517,0.5102534294128418
2,1,34.0,41.0,7.0,9,0.05079445615410805,3.798820972442627,7.590160385007039e-05,1.0544673204421997,0.7280473709106445
2,2,38.0,41.0,3.0,10,0.03992772847414017,4.07691764831543,5.529383270186372e-05,1.0211387872695923,0.6179724931716919
2,3,37.0,41.0,4.0,11,0.04162667691707611,3.992718458175659,6.022743764333427e-05,1.04062020778656,0.6479063630104065
3,0,38.0,41.0,3.0,12,0.056781645864248276,3.702349901199341,8.502947457600385e-05,1.003696084022522,0.7605679631233215
3,1,39.0,41.0,2.0,13,0.04007171094417572,4.066478729248047,5.5635584431001917e-05,1.0262296199798584,0.6160883903503418
3,2,41.0,41.0,0.0,14,0.033197760581970215,4.260907173156738,4.491493746172637e-05,1.0475459098815918,0.5431550145149231
