batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration,filename,failure_category,predicted_failure
80,3,15.0,195.0,180.0,323,0.0238506961613893,4.625770092010498,3.132878555334173e-05,1.0003933906555176,0.4155698418617248,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0245.flac,catastrophic,True
19,2,0.0,180.0,180.0,78,0.0197040680795907,5.043413162231445,1.634346517676022e-05,1.055981993675232,0.3010404109954834,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0284.flac,systematic_bias,True
20,3,0.0,180.0,180.0,83,0.0317335687577724,4.870118141174316,2.2758380509912968e-05,1.0116674900054932,0.3678911328315735,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0170.flac,systematic_bias,True
69,0,0.0,180.0,180.0,276,0.0422204807400703,4.547853469848633,4.011802593595348e-05,1.0139843225479126,0.5061956644058228,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0144.flac,systematic_bias,False
74,0,0.0,180.0,180.0,296,0.0139820482581853,5.226317882537842,1.0908875083259773e-05,1.1094069480895996,0.2238557487726211,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0084.flac,systematic_bias,True
61,0,1.0,180.0,179.0,244,0.0341120772063732,4.750427722930908,2.9521976102842015e-05,1.0809825658798218,0.4287497997283935,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0168.flac,catastrophic,False
68,2,1.0,180.0,179.0,274,0.0381377413868904,4.739100456237793,3.1515679438598454e-05,1.1257091760635376,0.4385005235671997,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0034.flac,catastrophic,False
68,0,1.0,180.0,179.0,272,0.0408998467028141,4.738141059875488,3.285541242803447e-05,1.158923864364624,0.4265375137329101,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0223.flac,catastrophic,False
67,2,1.0,180.0,179.0,270,0.0177126768976449,5.1218485832214355,1.3051600944891106e-05,1.1236023902893066,0.2343219816684723,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0220.flac,catastrophic,True
66,0,1.0,180.0,179.0,264,0.010607817210257,5.4152326583862305,6.724541890434921e-06,1.0057753324508667,0.1734701097011566,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0265.flac,catastrophic,True
61,1,1.0,180.0,179.0,245,0.0226309336721897,5.045802116394043,1.5925415937090293e-05,1.1041487455368042,0.2959315478801727,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0037.flac,catastrophic,True
59,3,1.0,180.0,179.0,239,0.0533711686730384,4.449719429016113,5.245138527243398e-05,1.0784285068511963,0.5165095925331116,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0304.flac,catastrophic,False
60,0,1.0,180.0,179.0,240,0.0281986705958843,4.975590229034424,2.0973275240976363e-05,1.141637086868286,0.3475287854671478,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0295.flac,catastrophic,True
59,1,1.0,180.0,179.0,237,0.0417442098259925,4.466788291931152,4.7872785216895863e-05,1.061046838760376,0.4458531439304352,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0086.flac,catastrophic,False
57,0,1.0,180.0,179.0,228,0.0508541017770767,4.4067182540893555,5.07058430230245e-05,1.1031767129898071,0.5143001079559326,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0055.flac,catastrophic,False
