batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration,error_category
0,0,45.0,41.0,4.0,0,0.0455547906458377,3.9606897830963135,6.472437235061079e-05,1.0363976955413818,0.6724452972412109,moderate
0,1,49.0,41.0,8.0,1,0.065044917166233,3.6014559268951416,9.722904360387474e-05,1.024874567985535,0.8008130192756653,moderate
0,2,46.0,41.0,5.0,2,0.0695150718092918,3.5115251541137695,0.0001069141799234,1.008545994758606,0.8167234063148499,moderate
0,3,48.0,41.0,7.0,3,0.0552581958472728,3.7853713035583496,7.951355655677617e-05,1.024464130401611,0.7346929311752319,moderate
1,0,56.0,41.0,15.0,4,0.0321454517543315,4.265447616577148,4.493422602536157e-05,1.0588147640228271,0.5431120991706848,bad
1,1,48.0,41.0,7.0,5,0.0739215686917305,3.404804229736328,0.0001175148208858,1.003742814064026,0.8546526432037354,moderate
1,2,48.0,41.0,7.0,6,0.0218964908272027,4.743283271789551,2.5820823793765157e-05,1.037752628326416,0.3877997994422912,moderate
1,3,49.0,41.0,8.0,7,0.073480874300003,3.439581871032715,0.0001137515064328,1.0411427021026611,0.8495126366615295,moderate
2,0,49.0,41.0,8.0,8,0.0454161390662193,4.053607940673828,5.950289414613508e-05,1.0426300764083862,0.6395057439804077,moderate
2,1,49.0,41.0,8.0,9,0.066852182149887,3.572519302368164,9.997436427511276e-05,1.0292283296585083,0.8105162382125854,moderate
2,2,48.0,41.0,7.0,10,0.055833488702774,3.755645513534546,8.164378232322633e-05,1.0096750259399414,0.7457065582275391,moderate
2,3,49.0,41.0,8.0,11,0.0584635734558105,3.7014429569244385,8.563230221625417e-05,1.0800400972366333,0.7616755366325378,moderate
3,0,49.0,41.0,8.0,12,0.0775652751326561,3.352738857269287,0.0001243837177753,1.008302092552185,0.8743385076522827,moderate
3,1,47.0,41.0,6.0,13,0.0591172277927398,3.7101802825927734,8.596833504270762e-05,1.010859489440918,0.7631381750106812,moderate
3,2,46.0,41.0,5.0,14,0.0445571467280387,4.054872989654541,6.007712727296166e-05,1.0256785154342651,0.643646240234375,moderate
3,3,48.0,41.0,7.0,15,0.090388998389244,3.238435745239258,0.0001454258017474,1.021563172340393,0.8954176306724548,moderate
4,0,49.0,41.0,8.0,16,0.0736294463276863,3.380073070526123,0.0001191509363707,1.06471586227417,0.8645001649856567,moderate
4,1,49.0,41.0,8.0,17,0.0651571825146675,3.543546199798584,0.0001013971996144,1.0464484691619873,0.8170480132102966,moderate
4,2,49.0,41.0,8.0,18,0.0686650425195694,3.4804632663726807,0.0001080308938981,1.025725483894348,0.838107168674469,moderate
4,3,49.0,41.0,8.0,19,0.053521804511547,3.8442702293396,7.542705861851573e-05,1.007731556892395,0.7171921133995056,moderate
5,0,49.0,41.0,8.0,20,0.0547339655458927,3.8322157859802246,7.536087650805712e-05,1.0453081130981443,0.7191001176834106,moderate
5,1,49.0,41.0,8.0,21,0.0625100582838058,3.6224215030670166,9.3234317319002e-05,1.0603307485580444,0.7901420593261719,moderate
5,2,49.0,41.0,8.0,22,0.0819520056247711,3.338542222976685,0.0001287528284592,1.01312518119812,0.8761599063873291,moderate
5,3,49.0,41.0,8.0,23,0.0508307144045829,3.8734869956970215,7.088638813002035e-05,1.056944727897644,0.7050947546958923,moderate
6,0,49.0,41.0,8.0,24,0.0536165013909339,3.8322620391845703,7.499195635318756e-05,1.0444687604904177,0.7186211943626404,moderate
6,1,49.0,41.0,8.0,25,0.0583470463752746,3.73679780960083,8.336102473549545e-05,1.051811933517456,0.7548482418060303,moderate
6,2,49.0,41.0,8.0,26,0.0664813071489334,3.4959709644317627,0.0001064399693859,1.0342680215835571,0.8289507627487183,moderate
6,3,42.0,41.0,1.0,27,0.0335931219160556,4.267461776733398,4.582523615681566e-05,1.0069690942764282,0.5564556121826172,excellent
7,0,49.0,41.0,8.0,28,0.0668544396758079,3.567646026611328,9.934722766047344e-05,1.0709478855133057,0.8100762367248535,moderate
7,1,49.0,41.0,8.0,29,0.0727076083421707,3.4196457862854004,0.0001146045469795,1.0595852136611938,0.8482540845870972,moderate
7,2,53.0,41.0,12.0,30,0.0608220919966697,3.5350277423858643,0.0001007348691928,1.0091089010238647,0.8243968486785889,bad
7,3,49.0,41.0,8.0,31,0.0791213065385818,3.3285608291625977,0.0001270702632609,1.0355898141860962,0.8807951211929321,moderate
8,0,53.0,41.0,12.0,32,0.0576046966016292,3.645338535308838,9.04811022337526e-05,1.0037494897842407,0.7870997190475464,bad
8,1,49.0,41.0,8.0,33,0.0503160692751407,3.84140682220459,7.328523497562855e-05,1.0616923570632937,0.7128476500511169,moderate
8,2,51.0,41.0,10.0,34,0.0433128215372562,3.987706422805786,6.206751277204603e-05,1.0175268650054932,0.6574103832244873,moderate
8,3,49.0,41.0,8.0,35,0.0736331716179847,3.4350788593292236,0.0001152612167061,1.016996145248413,0.8517424464225769,moderate
9,0,49.0,41.0,8.0,36,0.0482413284480571,3.977016925811768,6.398848199751228e-05,1.0813220739364624,0.667577862739563,moderate
9,1,49.0,41.0,8.0,37,0.0447154939174652,4.0303120613098145,6.0024609410902485e-05,1.0487080812454224,0.6440998315811157,moderate
9,2,49.0,41.0,8.0,38,0.0510115809738636,3.895829916000366,6.97961077094078e-05,1.0471948385238647,0.6950262784957886,moderate
9,3,49.0,41.0,8.0,39,0.0578199885785579,3.7660374641418457,8.130510104820132e-05,1.0333212614059448,0.7432646155357361,moderate
10,0,48.0,41.0,7.0,40,0.0808052942156791,3.347999095916748,0.0001281770237255,1.014440894126892,0.8714492321014404,moderate
10,1,49.0,41.0,8.0,41,0.0704780742526054,3.484976291656494,0.0001081026421161,1.0720220804214478,0.8341447114944458,moderate
10,2,49.0,41.0,8.0,42,0.065933883190155,3.5500168800354004,0.0001004863952402,1.0341702699661257,0.818820059299469,moderate
10,3,49.0,41.0,8.0,43,0.0523814260959625,3.8290278911590576,7.460505730705336e-05,1.0638411045074463,0.7172313332557678,moderate
11,0,49.0,41.0,8.0,44,0.0850303322076797,3.300451278686523,0.000134564586915,1.013394117355347,0.8849771618843079,moderate
11,1,46.0,41.0,5.0,45,0.0503776259720325,3.914847850799561,6.89395164954476e-05,1.0145065784454346,0.6813860535621643,moderate
11,2,49.0,41.0,8.0,46,0.0581586360931396,3.7181649208068848,8.55394100653939e-05,1.0121045112609863,0.7597955465316772,moderate
11,3,48.0,41.0,7.0,47,0.0633762627840042,3.642769336700439,9.331935143563896e-05,1.0163874626159668,0.7832018136978149,moderate
12,0,49.0,41.0,8.0,48,0.0763249099254608,3.419093132019043,0.0001167853042716,1.0315488576889038,0.8549948334693909,moderate
12,1,53.0,41.0,12.0,49,0.0640370622277259,3.5036165714263916,0.0001045593598973,1.0329967737197876,0.8358325958251953,bad
12,2,55.0,41.0,14.0,50,0.0671848356723785,3.522529125213623,0.0001030019921017,1.0836173295974731,0.8281922340393066,bad
12,3,49.0,41.0,8.0,51,0.0748092606663703,3.398651123046875,0.0001180372200906,1.0237607955932615,0.862090528011322,moderate
13,0,46.0,41.0,5.0,52,0.0799952745437622,3.378286123275757,0.0001244613813469,1.0108442306518557,0.8582816123962402,moderate
13,1,48.0,41.0,7.0,53,0.0889967754483223,3.2516183853149414,0.0001419446780346,1.0168744325637815,0.8924499154090881,moderate
13,2,49.0,41.0,8.0,54,0.0540930591523647,3.844094753265381,7.432951679220423e-05,1.061155080795288,0.7164226770401001,moderate
13,3,48.0,41.0,7.0,55,0.0778657719492912,3.4107282161712646,0.0001201751147164,1.0267579555511477,0.8540736436843872,moderate
14,0,49.0,41.0,8.0,56,0.0632877200841903,3.621225595474243,9.368707105750218e-05,1.085540771484375,0.7882253527641296,moderate
14,1,49.0,41.0,8.0,57,0.0663218647241592,3.535722017288208,0.0001018278999254,1.0412969589233398,0.8232854604721069,moderate
14,2,47.0,41.0,6.0,58,0.0557969510555267,3.817500114440918,7.784034823998809e-05,1.030179500579834,0.7240915298461914,moderate
14,3,49.0,41.0,8.0,59,0.0669599846005439,3.4895424842834473,0.0001068648780346,1.0424587726593018,0.8346540331840515,moderate
15,0,49.0,41.0,8.0,60,0.0816520676016807,3.339570999145508,0.0001291570515604,1.0099270343780518,0.8752903938293457,moderate
15,1,49.0,41.0,8.0,61,0.0521847903728485,3.8303451538085938,7.438098691636696e-05,1.0769284963607788,0.7129621505737305,moderate
15,2,49.0,41.0,8.0,62,0.0704544782638549,3.4905998706817627,0.0001087545315385,1.006523847579956,0.835052490234375,moderate
15,3,48.0,41.0,7.0,63,0.0626035779714584,3.673118114471435,9.148444223683327e-05,1.002074956893921,0.7721042633056641,moderate
16,0,51.0,41.0,10.0,64,0.0681809410452842,3.4337849617004395,0.0001125835333368,1.0077251195907593,0.8575835227966309,moderate
16,1,48.0,41.0,7.0,65,0.0597798377275466,3.7002968788146977,8.796865586191416e-05,1.0073925256729126,0.7645385265350342,moderate
16,2,49.0,41.0,8.0,66,0.0579652599990367,3.7603988647460938,8.132681978167966e-05,1.074260115623474,0.7438690066337585,moderate
16,3,49.0,41.0,8.0,67,0.0438269600272178,4.006237506866455,6.039469735696912e-05,1.046862006187439,0.6481370329856873,moderate
17,0,49.0,41.0,8.0,68,0.0401882715523242,4.15116024017334,5.338422124623321e-05,1.0089836120605469,0.6012489199638367,moderate
17,1,51.0,41.0,10.0,69,0.0640380531549453,3.5085058212280273,0.0001043799202307,1.0433751344680786,0.834403932094574,moderate
17,2,49.0,41.0,8.0,70,0.0628496631979942,3.625459671020508,9.3938440841157e-05,1.0010178089141846,0.7903902530670166,moderate
17,3,179.0,180.0,1.0,71,0.0775201395153999,3.3552565574645996,0.0001287493359996,1.0304603576660156,0.867854654788971,excellent
18,0,179.0,180.0,1.0,72,0.0565099865198135,3.7524688243865967,8.523675205651671e-05,1.0020586252212524,0.7460379600524902,excellent
18,1,182.0,180.0,2.0,73,0.0493985898792743,3.981270313262939,6.499658775283024e-05,1.0278949737548828,0.6673769354820251,excellent
18,2,179.0,180.0,1.0,74,0.0777926594018936,3.349243402481079,0.0001294741086894,1.0130943059921265,0.8681715726852417,excellent
18,3,181.0,180.0,1.0,75,0.0712506026029586,3.5490236282348633,0.000105618739326,1.0466145277023315,0.8154667615890503,excellent
19,0,182.0,180.0,2.0,76,0.0334463529288768,4.338719367980957,4.048642222187482e-05,1.0043859481811523,0.500826358795166,excellent
19,1,179.0,180.0,1.0,77,0.0717392712831497,3.432234764099121,0.0001186214503832,1.0189704895019531,0.8470379114151001,excellent
19,2,181.0,180.0,1.0,78,0.0504289381206035,3.884791851043701,7.250613998621702e-05,1.0052361488342283,0.7017526626586914,excellent
19,3,181.0,180.0,1.0,79,0.0844017565250396,3.276446580886841,0.0001384085917379,1.0498476028442385,0.8899093270301819,excellent
20,0,181.0,180.0,1.0,80,0.0745142102241516,3.3911385536193848,0.0001231099013239,1.0405828952789309,0.8613630533218384,excellent
20,1,179.0,180.0,1.0,81,0.0781616047024726,3.3557486534118652,0.0001280335854971,1.058840274810791,0.8678120374679565,excellent
20,2,179.0,180.0,1.0,82,0.0758809670805931,3.383087158203125,0.0001249506603926,1.030014157295227,0.8617669343948364,excellent
20,3,179.0,180.0,1.0,83,0.0767735764384269,3.398292303085327,0.0001239884004462,1.0114696025848389,0.8565032482147217,excellent
21,0,177.0,180.0,3.0,84,0.0553328208625316,3.9388091564178462,6.924320769030601e-05,1.0723371505737305,0.6707738637924194,excellent
21,1,179.0,180.0,1.0,85,0.0807195380330085,3.317814826965332,0.000133251727675,1.053213119506836,0.8765767812728882,excellent
21,2,179.0,180.0,1.0,86,0.043436873704195,4.0560760498046875,5.9772915847133845e-05,1.0041028261184692,0.6355381608009338,excellent
21,3,181.0,180.0,1.0,87,0.0638557374477386,3.637142181396485,9.5453615358565e-05,1.03989577293396,0.7866843938827515,excellent
22,0,181.0,180.0,1.0,88,0.0393722355365753,4.205790996551514,5.037485243519768e-05,1.0379695892333984,0.5829503536224365,excellent
22,1,140.0,180.0,40.0,89,0.0334397926926612,4.268123149871826,4.385934516903944e-05,1.0137428045272827,0.5419620275497437,catastrophe
22,2,181.0,180.0,1.0,90,0.0719080790877342,3.411684513092041,0.0001201451887027,1.038959264755249,0.8554754257202148,excellent
22,3,179.0,180.0,1.0,91,0.0700619220733642,3.45784068107605,0.0001147584189311,1.0064228773117063,0.8394129276275635,excellent
23,0,177.0,180.0,3.0,92,0.0921917483210563,3.3247787952423096,0.0001377299777232,1.0365808010101318,0.8652627468109131,excellent
23,1,181.0,180.0,1.0,93,0.0688789412379264,3.5093274116516113,0.0001094708059099,1.03208589553833,0.8260751366615295,excellent
23,2,181.0,180.0,1.0,94,0.0748631209135055,3.396960973739624,0.0001235659146914,1.0037060976028442,0.8578252196311951,excellent
23,3,181.0,180.0,1.0,95,0.0599460750818252,3.758533000946045,8.4057537605986e-05,1.021331548690796,0.7460658550262451,excellent
24,0,181.0,180.0,1.0,96,0.0603747703135013,3.6551125049591064,9.231921285390854e-05,1.0137503147125244,0.7793625593185425,excellent
24,1,181.0,180.0,1.0,97,0.08494284003973,3.299283504486084,0.0001364593481412,1.0096038579940796,0.8831868767738342,excellent
24,2,182.0,180.0,2.0,98,0.0335071571171283,4.278410911560059,4.501946023083292e-05,1.0330111980438232,0.5487046837806702,excellent
24,3,182.0,180.0,2.0,99,0.0494942106306552,4.034029960632324,6.199867493705824e-05,1.0775452852249146,0.6486104726791382,excellent
25,0,177.0,180.0,3.0,100,0.0416974797844886,4.122653961181641,5.415656778495759e-05,1.025782346725464,0.5994772911071777,excellent
25,1,179.0,180.0,1.0,101,0.0428525507450103,4.084840774536133,5.669875463354401e-05,1.0136613845825195,0.6208441853523254,excellent
25,2,181.0,180.0,1.0,102,0.0308259930461645,4.466726303100586,3.573008507373743e-05,1.1007319688796997,0.4736701250076294,excellent
25,3,179.0,180.0,1.0,103,0.0777037888765335,3.411383628845215,0.0001232403592439,1.000189185142517,0.8532101511955261,excellent
26,0,177.0,180.0,3.0,104,0.0359370559453964,4.292222023010254,4.438927135197446e-05,1.0182639360427856,0.5328851342201233,excellent
26,1,182.0,180.0,2.0,105,0.0677780359983444,3.6463773250579834,9.567484084982424e-05,1.0230228900909424,0.7821129560470581,excellent
26,2,179.0,180.0,1.0,106,0.081880122423172,3.270658016204834,0.0001392990088788,1.0261574983596802,0.8875287771224976,excellent
26,3,181.0,180.0,1.0,107,0.059087686240673,3.709640502929687,8.878554217517376e-05,1.020168662071228,0.7638691663742065,excellent
27,0,181.0,180.0,1.0,108,0.07304348051548,3.424196481704712,0.000119378324598,1.0316232442855835,0.8519614338874817,excellent
27,1,181.0,180.0,1.0,109,0.0756946504116058,3.4743547439575195,0.0001142584587796,1.0178353786468506,0.8362967371940613,excellent
27,2,181.0,180.0,1.0,110,0.0523658506572246,3.9331445693969727,6.903054600115865e-05,1.0169769525527954,0.6836066246032715,excellent
27,3,179.0,180.0,1.0,111,0.0624847300350666,3.677802562713623,9.27308647078462e-05,1.0479776859283447,0.7744619846343994,excellent
28,0,182.0,180.0,2.0,112,0.0524663552641868,3.960846424102783,6.723641126882285e-05,1.047683835029602,0.6734829545021057,excellent
28,1,179.0,180.0,1.0,113,0.0636119544506073,3.674297571182251,9.331745968665928e-05,1.0135716199874878,0.7711509466171265,excellent
28,2,181.0,180.0,1.0,114,0.0588190667331218,3.6919760704040527,8.986825559986755e-05,1.0099401473999023,0.7690013647079468,excellent
28,3,181.0,180.0,1.0,115,0.0587272047996521,3.720417499542236,8.716691809240729e-05,1.0270113945007324,0.7592291235923767,excellent
29,0,179.0,180.0,1.0,116,0.0807843059301376,3.417827606201172,0.0001233671209774,1.036622405052185,0.8508937954902649,excellent
29,1,181.0,180.0,1.0,117,0.0523326955735683,3.876903533935547,7.273723895195872e-05,1.0183111429214478,0.7028161883354187,excellent
29,2,181.0,180.0,1.0,118,0.0613991133868694,3.676149606704712,9.188312833430246e-05,1.041451334953308,0.7738166451454163,excellent
