batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration,error_category
0,0,34.0,41.0,7.0,0,0.0366471149027347,4.079871654510498,5.2976058213971555e-05,1.01639986038208,0.5970586538314819,moderate
0,1,43.0,41.0,2.0,1,0.0495289862155914,3.78467059135437,7.627141167176887e-05,1.0125329494476318,0.7312712669372559,excellent
0,2,41.0,41.0,0.0,2,0.0342686586081981,4.183948040008545,4.634571087080985e-05,1.0644583702087402,0.5482960939407349,excellent
0,3,44.0,41.0,3.0,3,0.0485909469425678,3.865185260772705,7.174410711741075e-05,1.0044572353363037,0.7085458040237427,excellent
1,0,48.0,41.0,7.0,4,0.0290371291339397,4.303023815155029,4.107832137378864e-05,1.0251773595809937,0.5168074369430542,moderate
1,1,43.0,41.0,2.0,5,0.0704174488782882,3.472923040390014,0.0001100505833164,1.0167869329452517,0.8415992259979248,excellent
1,2,48.0,41.0,7.0,6,0.0347050093114376,4.2161760330200195,4.810132668353617e-05,1.0083082914352417,0.5621740221977234,moderate
1,3,42.0,41.0,1.0,7,0.0569884330034256,3.675567865371704,8.789832645561546e-05,1.0099605321884155,0.773025393486023,excellent
2,0,43.0,41.0,2.0,8,0.0363846011459827,4.174443244934082,5.024993515689857e-05,1.0290684700012207,0.5869460105895996,excellent
2,1,43.0,41.0,2.0,9,0.0486350245773792,3.8129749298095703,7.341329182963818e-05,1.0437177419662476,0.7157090902328491,excellent
2,2,46.0,41.0,5.0,10,0.0474725253880023,3.9191575050354,6.764337740605697e-05,1.0326673984527588,0.684378445148468,moderate
2,3,43.0,41.0,2.0,11,0.0450329333543777,3.924366235733032,6.562662747455761e-05,1.0040836334228516,0.6769813299179077,excellent
3,0,43.0,41.0,2.0,12,0.069013237953186,3.4696290493011475,0.0001094930121325,1.0185774564743042,0.843392014503479,excellent
3,1,38.0,41.0,3.0,13,0.04684329777956,3.894216775894165,6.87215942889452e-05,1.0136232376098633,0.6934270858764648,excellent
3,2,44.0,41.0,3.0,14,0.041425235569477,4.086509704589844,5.672545012203045e-05,1.0173496007919312,0.6234632134437561,excellent
3,3,44.0,41.0,3.0,15,0.0830140858888626,3.340618133544922,0.0001288622006541,1.0721969604492188,0.8751128911972046,excellent
4,0,43.0,41.0,2.0,16,0.069193847477436,3.4786477088928223,0.0001084652467397,1.0289537906646729,0.8410370349884033,excellent
4,1,43.0,41.0,2.0,17,0.0560197494924068,3.71593713760376,8.45331305754371e-05,1.035677790641785,0.7604265213012695,excellent
4,2,43.0,41.0,2.0,18,0.062457300722599,3.5954556465148926,9.652302833274008e-05,1.0222524404525757,0.8013499975204468,excellent
4,3,41.0,41.0,0.0,19,0.0401428118348121,4.055047988891602,5.699180837837048e-05,1.0276778936386108,0.6241139769554138,excellent
5,0,43.0,41.0,2.0,20,0.0411441586911678,3.984486818313598,6.114086136221886e-05,1.012024998664856,0.6478274464607239,excellent
5,1,43.0,41.0,2.0,21,0.0438789501786232,3.915945053100586,6.443696474889293e-05,1.041285514831543,0.6711097955703735,excellent
5,2,41.0,41.0,0.0,22,0.0599426999688148,3.632322072982788,9.199907071888448e-05,1.014666199684143,0.7889339923858643,excellent
