batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration,error_category
0,0,43.0,41.0,2.0,0,0.0518238916993141,3.8124499320983887,7.658832328161225e-05,1.0221762657165527,0.728797435760498,excellent
0,1,46.0,41.0,5.0,1,0.0709069371223449,3.5343031883239746,0.0001065335382008,1.0395056009292605,0.8177624940872192,moderate
0,2,44.0,41.0,3.0,2,0.0770505294203758,3.4230620861053467,0.0001177021767944,1.079476237297058,0.8545333743095398,excellent
0,3,46.0,41.0,5.0,3,0.0615761019289493,3.723959445953369,8.730988338356838e-05,1.0725332498550415,0.7586017847061157,moderate
1,0,46.0,41.0,5.0,4,0.0486337058246135,3.9235587120056152,6.753594061592594e-05,1.0061521530151367,0.6756672859191895,moderate
1,1,46.0,41.0,5.0,5,0.0880071520805358,3.2826077938079834,0.0001388925302308,1.0563362836837769,0.884795069694519,moderate
1,2,43.0,41.0,2.0,6,0.0346614867448806,4.291830539703369,4.561646346701309e-05,1.0230813026428225,0.5578486323356628,excellent
1,3,46.0,41.0,5.0,7,0.0860688686370849,3.333242177963257,0.0001323160686297,1.0640875101089478,0.8720616698265076,moderate
2,0,44.0,41.0,3.0,8,0.0475888848304748,3.9674057960510254,6.59631987218745e-05,1.0090917348861694,0.674250602722168,excellent
2,1,46.0,41.0,5.0,9,0.0782862827181816,3.4521732330322266,0.0001170507675851,1.0791600942611694,0.8421820998191833,moderate
2,2,44.0,41.0,3.0,10,0.0611472763121128,3.712270736694336,8.777316543273628e-05,1.03991436958313,0.7616236209869385,excellent
2,3,46.0,41.0,5.0,11,0.0670521408319473,3.599607467651367,9.885941835818812e-05,1.061530590057373,0.798775315284729,moderate
3,0,46.0,41.0,5.0,12,0.0914098098874092,3.244950771331787,0.0001440227351849,1.0893936157226562,0.8941221237182617,moderate
3,1,44.0,41.0,3.0,13,0.0609240792691707,3.666027069091797,9.139852045336738e-05,1.009369134902954,0.779468297958374,excellent
3,2,45.0,41.0,4.0,14,0.0510547719895839,3.918268203735352,6.990161637077108e-05,1.0445411205291748,0.6904823184013367,moderate
3,3,46.0,41.0,5.0,15,0.0960271507501602,3.2066593170166016,0.0001508173445472,1.088333010673523,0.901147961616516,moderate
4,0,46.0,41.0,5.0,16,0.0923359245061874,3.242748260498047,0.0001453204895369,1.0872629880905151,0.8936471939086914,moderate
4,1,46.0,41.0,5.0,17,0.0793634057044982,3.4352853298187256,0.0001190437760669,1.0692380666732788,0.8461282849311829,moderate
