config,n_replaced,replacement_type,error_category,n_samples,pct_of_total,mean_error,median_error,max_prob_mean,max_prob_std,entropy_mean,entropy_std,prediction_variance_mean,prediction_variance_std,peak_sharpness_mean,peak_sharpness_std,local_concentration_mean,local_concentration_std
6cm_baseline,0,none,Excellent (<3°),1219,60.676953708312595,1.3109105824446268,1.0,0.07059354454254493,0.021615924168286865,3.5395103007481663,0.32491023456839657,0.00010872102717878231,3.9032400551216214e-05,1.04056748716043,0.034753260662084715,0.8040381375153207,0.10060576876084054
6cm_baseline,0,none,Bad (10-25°),34,1.6923842707814833,11.205882352941176,11.0,0.053500455146764964,0.013870563451309692,3.794453466639799,0.3723495131802121,8.283859353787982e-05,2.5888263690837856e-05,1.023672738495995,0.021806548414971063,0.7246638553984025,0.1502381064098973
6cm_baseline,0,none,Catastrophe (>30°),5,0.24888003982080636,62.0,43.0,0.02111411634832616,0.008333698753029271,4.830858993530273,0.4015384896323486,2.343836595173343e-05,1.2358357428748993e-05,1.026118540763855,0.014603860902748816,0.33929831981658937,0.1407848881945716
6cm_1x18cm_pos1,1,18cm,Excellent (<3°),1122,55.848680935788956,1.2468805704099821,1.0,0.06738914611272893,0.018433612153066943,3.583751720115675,0.28454074481702685,0.00010250399275922254,2.9885129315211086e-05,1.0395673225482729,0.036023085449894375,0.7943515273312409,0.09360957535782582
6cm_1x18cm_pos1,1,18cm,Bad (10-25°),123,6.122448979591836,12.560975609756097,12.0,0.060713630608790245,0.011880177802820701,3.623122856868961,0.2755690423174024,9.586628988381654e-05,2.1539641755578795e-05,1.0336271669806503,0.028100650419951474,0.7879586101062899,0.10323928363923145
6cm_1x18cm_pos1,1,18cm,Catastrophe (>30°),3,0.14932802389248384,74.33333333333333,90.0,0.0184581177309155,0.008230123956078382,5.030335426330566,0.42524847254403353,1.876813015163255e-05,1.2491550122830393e-05,1.0237500270207722,0.03517786394850714,0.3010509411493937,0.1451984740670094
6cm_1x18cm_pos5,1,18cm,Excellent (<3°),949,47.237431557989055,1.4130663856691255,2.0,0.06909061363015961,0.020280665768782433,3.5773660789927892,0.28984300325102696,0.00010416469697702265,3.2044431496941124e-05,1.0461490685620725,0.03954711908421595,0.7952966223715229,0.09173591058159006
6cm_1x18cm_pos5,1,18cm,Bad (10-25°),220,10.95072175211548,12.736363636363636,12.0,0.061225628782995,0.017321380083103417,3.6878858284516767,0.46751469845563703,9.54855487355274e-05,3.159152057019575e-05,1.0377742241729389,0.030153254555201986,0.7576985597610474,0.15947733405897946
6cm_1x18cm_pos5,1,18cm,Catastrophe (>30°),19,0.9457441513190642,104.42105263157895,103.0,0.023420664236733748,0.010926009545850572,4.881547149858977,0.44694074251317084,2.550314287107444e-05,1.642491886858912e-05,1.045458065836053,0.04157879559033465,0.3762465864419937,0.16160714269339604
6cm_1x12cm_pos1,1,12cm,Excellent (<3°),887,44.151319064211044,1.2412626832018039,1.0,0.06589058429851131,0.016194700522355283,3.613248703848012,0.27967383782334965,9.980083477874763e-05,2.6202705957027497e-05,1.033198588461591,0.030526247878361192,0.7881731235389645,0.09595209062640879
6cm_1x12cm_pos1,1,12cm,Bad (10-25°),387,19.263315082130415,14.085271317829458,14.0,0.07563362989901953,0.030165804041354886,3.5195807424934644,0.4571876378977426,0.00011871074665285632,5.5381473054568123e-05,1.0423508728505413,0.035087013159310655,0.7833327090401366,0.1274323590447264
6cm_1x12cm_pos1,1,12cm,Catastrophe (>30°),17,0.8461921353907417,128.41176470588235,142.0,0.025504003169343713,0.009862927675033502,4.77519557055305,0.319132187735835,2.7929227411839427e-05,1.3003166254157823e-05,1.033923675032223,0.02665605658842697,0.3921980936737621,0.13938845941000416
6cm_1x12cm_pos3,1,12cm,Excellent (<3°),771,38.37730214036834,1.3190661478599222,1.0,0.0663986946558809,0.024346216589288275,3.603844856009873,0.3760800527875389,0.00010236398087365901,4.465969658090609e-05,1.043104051461325,0.036146587763588346,0.7802523306912794,0.1136812090497411
6cm_1x12cm_pos3,1,12cm,Bad (10-25°),322,16.02787456445993,12.229813664596273,12.0,0.060222598854220946,0.018716799376082588,3.7352904044323085,0.41718064498643337,9.066599913977539e-05,3.221327326621805e-05,1.0329494772490508,0.027928815660429467,0.7458904324481206,0.14213213497440721
6cm_1x12cm_pos3,1,12cm,Catastrophe (>30°),27,1.3439522150323544,89.55555555555556,101.0,0.027746317080325492,0.012274246125624992,4.692600691760028,0.5139035464471102,3.295708815871708e-05,2.040513694205265e-05,1.0307758693341855,0.02458551898564014,0.4296988312292982,0.1841177006123627
6cm_1x12cm_pos5,1,12cm,Excellent (<3°),863,42.95669487307118,1.3348783314020858,1.0,0.06862649960855617,0.018197886353329026,3.5949221317627202,0.294586678103847,0.00010262542814450366,2.7703189856950354e-05,1.0432136985683773,0.038075618111669145,0.7929985228653993,0.09972980196887367
6cm_1x12cm_pos5,1,12cm,Bad (10-25°),423,21.05525136884022,16.93144208037825,19.0,0.10578169820755365,0.03397540009956219,3.288510805044332,0.4550807922787847,0.00015626367545186964,5.3754592493395316e-05,1.0834240101753396,0.047124048056400615,0.8438534721837821,0.13213099370173217
