batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration
0,0,186.0,41.0,145.0,0,0.02162116765975952,5.131890296936035,1.6595618944847956e-05,1.020500898361206,0.3275684714317322
0,1,186.0,41.0,145.0,1,0.04451548308134079,4.351088523864746,5.37161722604651e-05,1.0293374061584473,0.6087745428085327
0,2,186.0,41.0,145.0,2,0.016720570623874664,5.2759904861450195,1.1920032193302177e-05,1.0489580631256104,0.2383744716644287
0,3,186.0,41.0,145.0,3,0.03309578821063042,4.766646385192871,3.326083242427558e-05,1.0452044010162354,0.48400843143463135
1,0,186.0,41.0,145.0,4,0.026349827647209167,4.981815814971924,2.21626614802517e-05,1.019383430480957,0.38865143060684204
1,1,186.0,41.0,145.0,5,0.02261015959084034,5.245611190795898,1.3963310266262852e-05,1.0981090068817139,0.29254457354545593
1,2,196.0,41.0,155.0,6,0.028661107644438744,4.908963203430176,2.6875366529566236e-05,1.0466691255569458,0.4366013705730438
1,3,183.0,41.0,142.0,7,0.047124020755290985,4.516182899475098,5.0424732762621716e-05,1.010741114616394,0.5867950916290283
2,0,190.0,41.0,149.0,8,0.021797403693199158,5.215368270874023,1.64916582434671e-05,1.0147275924682617,0.3544887900352478
2,1,183.0,41.0,142.0,9,0.05843031033873558,3.8593199253082275,8.231814717873931e-05,1.0053632259368896,0.726939857006073
2,2,184.0,41.0,143.0,10,0.034922827035188675,4.667407035827637,3.7408608477562666e-05,1.0428450107574463,0.5038038492202759
2,3,186.0,41.0,145.0,11,0.03639145568013191,4.651411056518555,3.847923289868049e-05,1.0434218645095825,0.5195387601852417
3,0,184.0,41.0,143.0,12,0.06200914457440376,3.960179567337036,8.132652874337509e-05,1.0496491193771362,0.7196611166000366
3,1,186.0,41.0,145.0,13,0.03142624720931053,4.843479156494141,2.9428441848722287e-05,1.0490450859069824,0.4554693102836609
3,2,183.0,41.0,142.0,14,0.030647048726677895,4.719874858856201,3.3424439607188106e-05,1.0033035278320312,0.47192060947418213
3,3,184.0,41.0,143.0,15,0.07132430374622345,3.631507635116577,0.00010273701627738774,1.0114822387695312,0.7961293458938599
4,0,187.0,41.0,146.0,16,0.05350814387202263,3.7715988159179688,8.121388964354992e-05,1.0147451162338257,0.7457258105278015
4,1,316.0,41.0,85.0,17,0.0177273228764534,5.198666572570801,1.404465911036823e-05,1.0284191370010376,0.25489211082458496
4,2,186.0,41.0,145.0,18,0.03057868778705597,5.0092597007751465,2.409545959380921e-05,1.091202974319458,0.4164559841156006
4,3,183.0,41.0,142.0,19,0.02074684575200081,5.275585174560547,1.4338504115585238e-05,1.0408086776733398,0.31926149129867554
5,0,186.0,41.0,145.0,20,0.0281729307025671,4.852128982543945,2.863599183910992e-05,1.0025880336761475,0.44163525104522705
5,1,184.0,41.0,143.0,21,0.04759274795651436,4.152220726013184,6.237039633560926e-05,1.0083750486373901,0.6472638845443726
5,2,186.0,41.0,145.0,22,0.03241629898548126,4.802394866943359,2.7790900276158936e-05,1.0986926555633545,0.42880508303642273
5,3,190.0,41.0,149.0,23,0.02080478146672249,5.104580879211426,1.654604056966491e-05,1.0369497537612915,0.33259162306785583
6,0,183.0,41.0,142.0,24,0.03700704127550125,4.505331993103027,4.3202820961596444e-05,1.0139167308807373,0.5411312580108643
6,1,184.0,41.0,143.0,25,0.04368632286787033,4.276994705200195,5.532421710086055e-05,1.0078482627868652,0.6125407218933105
6,2,183.0,41.0,142.0,26,0.05546526983380318,3.9908862113952637,7.239262049552053e-05,1.0143053531646729,0.6953922510147095
6,3,186.0,41.0,145.0,27,0.013665328733623028,5.417535305023193,8.552567123842891e-06,1.0140718221664429,0.2162773311138153
7,0,190.0,41.0,149.0,28,0.03089459054172039,4.79392147064209,2.86013546428876e-05,1.07295823097229,0.45021122694015503
7,1,184.0,41.0,143.0,29,0.04502968490123749,4.459007263183594,5.1346436521271244e-05,1.0088906288146973,0.5908844470977783
7,2,186.0,41.0,145.0,30,0.03440110757946968,4.6646833419799805,3.580482007237151e-05,1.0389347076416016,0.49471044540405273
7,3,184.0,41.0,143.0,31,0.06095736473798752,3.951169013977051,8.049370808294043e-05,1.0562132596969604,0.7176086902618408
8,0,186.0,41.0,145.0,32,0.043626390397548676,4.357603073120117,5.196550046093762e-05,1.0511316061019897,0.6006420850753784
8,1,183.0,41.0,142.0,33,0.0396130345761776,4.482965469360352,4.563245238387026e-05,1.0470880270004272,0.5521212816238403
8,2,186.0,41.0,145.0,34,0.03130793571472168,4.81361198425293,3.0998991860542446e-05,1.0218626260757446,0.4658033847808838
8,3,184.0,41.0,143.0,35,0.05782803148031235,3.923454761505127,7.894509326433763e-05,1.037675380706787,0.7177743911743164
9,0,182.0,41.0,141.0,36,0.038569867610931396,4.446561336517334,4.394167990540154e-05,1.072648525238037,0.5486665368080139
9,1,189.0,41.0,148.0,37,0.02662009559571743,4.894309043884277,2.7120366212329827e-05,1.0181480646133423,0.44106626510620117
9,2,182.0,41.0,141.0,38,0.03356176242232323,4.628938674926758,3.631566505646333e-05,1.0562535524368286,0.49847108125686646
9,3,186.0,41.0,145.0,39,0.020233096554875374,5.262267112731934,1.3803929505229462e-05,1.0338722467422485,0.3110860586166382
10,0,321.0,41.0,80.0,40,0.025034451857209206,4.929490089416504,2.3917822545627132e-05,1.051718831062317,0.4020833969116211
10,1,186.0,41.0,145.0,41,0.050834182649850845,3.9827802181243896,6.934257544344291e-05,1.0483043193817139,0.6861305236816406
10,2,184.0,41.0,143.0,42,0.05773463472723961,3.8559579849243164,8.19070846773684e-05,1.0085413455963135,0.730641782283783
10,3,185.0,41.0,144.0,43,0.03658782318234444,4.493684768676758,4.328952491050586e-05,1.003434181213379,0.5458478927612305
11,0,183.0,41.0,142.0,44,0.061194438487291336,3.8285107612609863,8.370801515411586e-05,1.0215048789978027,0.7376154661178589
11,1,320.0,41.0,81.0,45,0.021269945427775383,4.981771469116211,1.799028177629225e-05,1.1103862524032593,0.31358802318573
11,2,183.0,41.0,142.0,46,0.04437132924795151,4.345278263092041,5.46738738194108e-05,1.0069187879562378,0.6043694615364075
11,3,183.0,41.0,142.0,47,0.04253712296485901,4.405719757080078,5.083738869871013e-05,1.0070639848709106,0.5863187313079834
