batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration
0,0,34.0,41.0,7.0,0,0.036647114902734756,4.079871654510498,5.2976058213971555e-05,1.01639986038208,0.5970586538314819
0,1,43.0,41.0,2.0,1,0.04952898621559143,3.78467059135437,7.627141167176887e-05,1.0125329494476318,0.7312712669372559
0,2,41.0,41.0,0.0,2,0.034268658608198166,4.183948040008545,4.634571087080985e-05,1.0644583702087402,0.5482960939407349
0,3,44.0,41.0,3.0,3,0.048590946942567825,3.865185260772705,7.174410711741075e-05,1.0044572353363037,0.7085458040237427
1,0,48.0,41.0,7.0,4,0.029037129133939743,4.303023815155029,4.107832137378864e-05,1.0251773595809937,0.5168074369430542
1,1,43.0,41.0,2.0,5,0.07041744887828827,3.4729230403900146,0.00011005058331647888,1.0167869329452515,0.8415992259979248
1,2,48.0,41.0,7.0,6,0.03470500931143761,4.2161760330200195,4.810132668353617e-05,1.0083082914352417,0.5621740221977234
1,3,42.0,41.0,1.0,7,0.0569884330034256,3.675567865371704,8.789832645561546e-05,1.0099605321884155,0.773025393486023
2,0,43.0,41.0,2.0,8,0.03638460114598274,4.174443244934082,5.024993515689857e-05,1.0290684700012207,0.5869460105895996
2,1,43.0,41.0,2.0,9,0.04863502457737923,3.8129749298095703,7.341329182963818e-05,1.0437177419662476,0.7157090902328491
2,2,46.0,41.0,5.0,10,0.047472525388002396,3.9191575050354004,6.764337740605697e-05,1.0326673984527588,0.684378445148468
2,3,43.0,41.0,2.0,11,0.04503293335437775,3.9243662357330322,6.562662747455761e-05,1.0040836334228516,0.6769813299179077
3,0,43.0,41.0,2.0,12,0.06901323795318604,3.4696290493011475,0.00010949301213258877,1.0185774564743042,0.843392014503479
3,1,38.0,41.0,3.0,13,0.04684329777956009,3.894216775894165,6.87215942889452e-05,1.0136232376098633,0.6934270858764648
3,2,44.0,41.0,3.0,14,0.04142523556947708,4.086509704589844,5.672545012203045e-05,1.0173496007919312,0.6234632134437561
3,3,44.0,41.0,3.0,15,0.08301408588886261,3.340618133544922,0.0001288622006541118,1.0721969604492188,0.8751128911972046
4,0,43.0,41.0,2.0,16,0.06919384747743607,3.4786477088928223,0.0001084652467397973,1.0289537906646729,0.8410370349884033
4,1,43.0,41.0,2.0,17,0.056019749492406845,3.7159371376037598,8.45331305754371e-05,1.0356777906417847,0.7604265213012695
4,2,43.0,41.0,2.0,18,0.06245730072259903,3.5954556465148926,9.652302833274007e-05,1.0222524404525757,0.8013499975204468
4,3,41.0,41.0,0.0,19,0.040142811834812164,4.055047988891602,5.699180837837048e-05,1.0276778936386108,0.6241139769554138
5,0,43.0,41.0,2.0,20,0.04114415869116783,3.9844868183135986,6.114086136221886e-05,1.012024998664856,0.6478274464607239
5,1,43.0,41.0,2.0,21,0.0438789501786232,3.915945053100586,6.443696474889293e-05,1.041285514831543,0.6711097955703735
5,2,41.0,41.0,0.0,22,0.05994269996881485,3.632322072982788,9.199907071888447e-05,1.014666199684143,0.7889339923858643
5,3,38.0,41.0,3.0,23,0.041852839291095734,4.010626792907715,5.8833553339354694e-05,1.0232481956481934,0.6356392502784729
6,0,46.0,41.0,5.0,24,0.0415908619761467,3.9821925163269043,6.12880103290081e-05,1.012677550315857,0.6586284041404724
6,1,43.0,41.0,2.0,25,0.048015087842941284,3.8830790519714355,6.999527977313846e-05,1.0228397846221924,0.6966976523399353
6,2,43.0,41.0,2.0,26,0.06302563101053238,3.5795493125915527,9.889606735669076e-05,1.0036014318466187,0.8023285865783691
6,3,41.0,41.0,0.0,27,0.02814299426972866,4.478727340698242,3.5164557630196214e-05,1.053912878036499,0.46784764528274536
7,0,38.0,41.0,3.0,28,0.04888571798801422,3.8551065921783447,7.08351653884165e-05,1.0369064807891846,0.7012948393821716
7,1,43.0,41.0,2.0,29,0.05448189750313759,3.7110815048217773,8.282037015305832e-05,1.0344197750091553,0.7585837244987488
7,2,42.0,41.0,1.0,30,0.05554194748401642,3.693410634994507,8.52389566716738e-05,1.0037060976028442,0.765360951423645
7,3,43.0,41.0,2.0,31,0.06333835422992706,3.5578067302703857,9.821970161283389e-05,1.0496916770935059,0.8147702217102051
8,0,49.0,41.0,8.0,32,0.0385412834584713,4.018882751464844,5.704884461010806e-05,1.0457299947738647,0.6307097673416138
8,1,43.0,41.0,2.0,33,0.046848513185977936,3.916006565093994,6.769211904611439e-05,1.0119147300720215,0.68706214427948
8,2,43.0,41.0,2.0,34,0.040524061769247055,4.07529354095459,5.636215064441785e-05,1.0146701335906982,0.6243369579315186
8,3,46.0,41.0,5.0,35,0.05745792016386986,3.6648523807525635,8.797932241577655e-05,1.015608310699463,0.7793477773666382
9,0,38.0,41.0,3.0,36,0.03354787454009056,4.199467182159424,4.6166114771040156e-05,1.0000660419464111,0.5511698722839355
9,1,43.0,41.0,2.0,37,0.03422307223081589,4.1692304611206055,4.92636245326139e-05,1.002870798110962,0.5769751667976379
9,2,41.0,41.0,0.0,38,0.039381805807352066,4.085474967956543,5.4523497965419665e-05,1.0393425226211548,0.6100150942802429
