batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration
0,0,41.0,41.0,0.0,0,0.023507772013545036,4.565088748931885,2.992930603795685e-05,1.0443419218063354,0.40154656767845154
0,1,55.0,41.0,14.0,1,0.037966538220644,4.136455059051514,5.141380461282097e-05,1.070125699043274,0.5860713720321655
0,2,53.0,41.0,12.0,2,0.02405901998281479,4.56358528137207,3.08647686324548e-05,1.0065196752548218,0.4304922819137573
0,3,68.0,41.0,27.0,3,0.029416164383292198,4.287833213806152,4.3198193452553824e-05,1.0000677108764648,0.48300400376319885
1,0,1.0,41.0,40.0,4,0.012257318012416363,5.184329032897949,1.099822657124605e-05,1.0405185222625732,0.1933910846710205
1,1,70.0,41.0,29.0,5,0.042113710194826126,3.929872512817383,6.268895231187344e-05,1.0165188312530518,0.6586127877235413
1,2,70.0,41.0,29.0,6,0.012118474580347538,5.33060359954834,9.501647582510486e-06,1.0691964626312256,0.19573283195495605
1,3,77.0,41.0,36.0,7,0.03627815470099449,4.153779029846191,5.0556001951918006e-05,1.0078526735305786,0.5767186880111694
2,0,81.0,41.0,40.0,8,0.027186276391148567,4.598119258880615,3.324625868117437e-05,1.0028334856033325,0.44102388620376587
2,1,68.0,41.0,27.0,9,0.02882479690015316,4.247313022613525,4.4143660488771275e-05,1.0224837064743042,0.507987380027771
2,2,72.0,41.0,31.0,10,0.018826909363269806,4.772299766540527,2.4302098609041423e-05,1.0075324773788452,0.3434939980506897
2,3,72.0,41.0,31.0,11,0.025252550840377808,4.5101776123046875,3.478514918242581e-05,1.0006757974624634,0.4602804183959961
3,0,72.0,41.0,31.0,12,0.037370190024375916,4.063657283782959,5.370848884922452e-05,1.0378226041793823,0.5969253778457642
3,1,55.0,41.0,14.0,13,0.02855352871119976,4.510399341583252,3.4701373806456104e-05,1.0715869665145874,0.47260183095932007
3,2,91.0,41.0,50.0,14,0.015858953818678856,5.217881202697754,1.3419321476249024e-05,1.0018614530563354,0.21204692125320435
3,3,72.0,41.0,31.0,15,0.04359207674860954,3.9148123264312744,6.490488885901868e-05,1.0190377235412598,0.6736963987350464
4,0,75.0,41.0,34.0,16,0.03879335895180702,4.021125316619873,5.6853739806683734e-05,1.017665982246399,0.6201394200325012
4,1,76.0,41.0,35.0,17,0.032072003930807114,4.220602512359619,4.611788972397335e-05,1.0028953552246094,0.5336753129959106
4,2,55.0,41.0,14.0,18,0.0306941419839859,4.178655624389648,4.687507316702977e-05,1.0621832609176636,0.5026240348815918
4,3,70.0,41.0,29.0,19,0.020008523017168045,4.856007099151611,2.2493315555038862e-05,1.0161612033843994,0.35706984996795654
5,0,75.0,41.0,34.0,20,0.025119494646787643,4.696310997009277,2.9315453502931632e-05,1.0367690324783325,0.41717180609703064
5,1,75.0,41.0,34.0,21,0.033049121499061584,4.234136581420898,4.647917012334801e-05,1.0034401416778564,0.5525017380714417
5,2,55.0,41.0,14.0,22,0.03386241942644119,4.019522666931152,5.4609947255812585e-05,1.0663127899169922,0.5513513088226318
5,3,70.0,41.0,29.0,23,0.01876276358962059,4.810696601867676,2.310812851646915e-05,1.0407602787017822,0.32949215173721313
6,0,72.0,41.0,31.0,24,0.02572074718773365,4.546769618988037,3.345559525769204e-05,1.0274533033370972,0.43199822306632996
6,1,70.0,41.0,29.0,25,0.013441274873912334,5.154686450958252,1.2613391845661681e-05,1.0111255645751953,0.22166883945465088
6,2,81.0,41.0,40.0,26,0.0435495600104332,3.8697023391723633,6.819381815148517e-05,1.0002449750900269,0.699272632598877
6,3,1.0,41.0,40.0,27,0.012692430056631565,5.291346549987793,9.727150427352171e-06,1.023298978805542,0.20151513814926147
7,0,81.0,41.0,40.0,28,0.030614856630563736,4.327570915222168,4.284977330826223e-05,1.0237120389938354,0.5162495970726013
7,1,70.0,41.0,29.0,29,0.026152759790420532,4.448386192321777,3.512792682158761e-05,1.0196295976638794,0.4433755874633789
7,2,81.0,41.0,40.0,30,0.025068124756217003,4.643774509429932,3.037090391444508e-05,1.0359127521514893,0.4401766061782837
