batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration
0,0,25.0,41.0,16.0,0,0.042386170476675034,3.8959598541259766,6.426713662222028e-05,1.0071361064910889,0.6618403196334839
0,1,28.0,41.0,13.0,1,0.0587269626557827,3.624817371368408,9.134914580499753e-05,1.0073436498641968,0.7841120958328247
0,2,23.0,41.0,18.0,2,0.045645009726285934,3.8043289184570312,6.983321509324014e-05,1.0345158576965332,0.7015284895896912
0,3,29.0,41.0,12.0,3,0.04607454687356949,3.9078783988952637,6.412430957425386e-05,1.0233319997787476,0.6661776304244995
1,0,29.0,41.0,12.0,4,0.03601628541946411,4.060535907745361,5.1823415560647845e-05,1.0546191930770874,0.5847439765930176
1,1,25.0,41.0,16.0,5,0.06538093835115433,3.458624839782715,0.00010805328929563984,1.0217255353927612,0.8420193195343018
1,2,39.0,41.0,2.0,6,0.017433715984225273,4.885758399963379,2.053298885584809e-05,1.0498501062393188,0.3264738917350769
1,3,25.0,41.0,16.0,7,0.06963581591844559,3.4550158977508545,0.00010912719881162047,1.0192779302597046,0.8400740027427673
2,0,29.0,41.0,12.0,8,0.041086699813604355,4.08656120300293,5.348197737475857e-05,1.014405369758606,0.5960192680358887
2,1,27.0,41.0,14.0,9,0.05916605144739151,3.603025436401367,9.32000984903425e-05,1.0148570537567139,0.7928503751754761
2,2,25.0,41.0,16.0,10,0.047724898904561996,3.810792922973633,7.144123810576275e-05,1.0319225788116455,0.702250599861145
2,3,29.0,41.0,12.0,11,0.052542153745889664,3.7406935691833496,7.904227823019028e-05,1.0362237691879272,0.73509681224823
3,0,28.0,41.0,13.0,12,0.07022496312856674,3.425297498703003,0.00011236009595450014,1.0725419521331787,0.8535336256027222
3,1,20.0,41.0,21.0,13,0.04303621128201485,3.822448492050171,6.721582030877471e-05,1.0071357488632202,0.6843478679656982
3,2,29.0,41.0,12.0,14,0.045867033302783966,3.9917197227478027,5.9570684243226424e-05,1.037200689315796,0.6348327398300171
3,3,25.0,41.0,16.0,15,0.07092244178056717,3.382960319519043,0.00011739571345970035,1.0508748292922974,0.8612673282623291
4,0,29.0,41.0,12.0,16,0.07334646582603455,3.3831627368927,0.00011882346734637395,1.0106611251831055,0.8650387525558472
4,1,28.0,41.0,13.0,17,0.06053854152560234,3.579484701156616,9.579554898664355e-05,1.0255705118179321,0.8008942604064941
4,2,25.0,41.0,16.0,18,0.06100364401936531,3.5266153812408447,0.00010038653272204101,1.0108131170272827,0.8173134326934814
4,3,29.0,41.0,12.0,19,0.0529194213449955,3.8580617904663086,7.069485582178459e-05,1.0378756523132324,0.6940443515777588
5,0,29.0,41.0,12.0,20,0.030007243156433105,4.256838321685791,4.162283585174009e-05,1.0453969240188599,0.5023913383483887
5,1,25.0,41.0,16.0,21,0.057010944932699203,3.6517629623413086,8.676195284351707e-05,1.0432840585708618,0.7702329158782959
5,2,29.0,41.0,12.0,22,0.06338430196046829,3.4811606407165527,0.00010475276212673634,1.0164636373519897,0.8294448852539062
5,3,23.0,41.0,18.0,23,0.044875405728816986,3.819730043411255,6.872628000564873e-05,1.0230698585510254,0.689993679523468
6,0,28.0,41.0,13.0,24,0.045666780322790146,3.8895983695983887,6.616433529416099e-05,1.0046896934509277,0.6741348505020142
6,1,27.0,41.0,14.0,25,0.05205490440130234,3.7337698936462402,7.990859739948064e-05,1.0209567546844482,0.740999162197113
6,2,28.0,41.0,13.0,26,0.06822579354047775,3.4800546169281006,0.0001071511214831844,1.047711968421936,0.835599422454834
6,3,27.0,41.0,14.0,27,0.0349288173019886,4.197928428649902,4.6548215323127806e-05,1.0026317834854126,0.5437862873077393
7,0,22.0,41.0,19.0,28,0.05840564891695976,3.5927236080169678,9.048399806488305e-05,1.0186563730239868,0.7840218544006348
7,1,29.0,41.0,12.0,29,0.056555695831775665,3.614933967590332,8.986413740785792e-05,1.0177124738693237,0.7905429601669312
7,2,22.0,41.0,19.0,30,0.06258230656385422,3.541196584701538,9.678219794295728e-05,1.00783371925354,0.8110064268112183
7,3,28.0,41.0,13.0,31,0.07541611790657043,3.335984468460083,0.0001234619558090344,1.0776960849761963,0.8779965043067932
8,0,31.0,41.0,10.0,32,0.056368131190538406,3.714829921722412,8.308099495479837e-05,1.0151917934417725,0.7512407302856445
8,1,29.0,41.0,12.0,33,0.049499500542879105,3.856750011444092,6.971841503400356e-05,1.004128098487854,0.6920956373214722
8,2,27.0,41.0,14.0,34,0.04296938329935074,3.9629464149475098,6.062962347641587e-05,1.0051060914993286,0.6411595344543457
8,3,29.0,41.0,12.0,35,0.06426987051963806,3.5154757499694824,0.00010257551912218332,1.0023550987243652,0.8200578689575195
9,0,29.0,41.0,12.0,36,0.05012963339686394,3.8826911449432373,6.803058931836858e-05,1.0197076797485352,0.681788444519043
9,1,23.0,41.0,18.0,37,0.03776099532842636,3.995643138885498,5.631021485896781e-05,1.0026036500930786,0.6063228845596313
9,2,25.0,41.0,16.0,38,0.04465007036924362,3.8763933181762695,6.667436537100002e-05,1.0004693269729614,0.6693487167358398
9,3,29.0,41.0,12.0,39,0.052672866731882095,3.7522287368774414,7.821661711204797e-05,1.031654715538025,0.7313469648361206
10,0,29.0,41.0,12.0,40,0.06954306364059448,3.466813087463379,0.00010979967191815376,1.007392406463623,0.8385750651359558
10,1,25.0,41.0,16.0,41,0.06433168798685074,3.5000293254852295,0.00010332148667657748,1.0500335693359375,0.8279642462730408
10,2,29.0,41.0,12.0,42,0.04847258701920509,3.7913711071014404,7.266423926921561e-05,1.049565076828003,0.7162444591522217
10,3,25.0,41.0,16.0,43,0.048989977687597275,3.802090644836426,7.2179151175078e-05,1.0483547449111938,0.7037094831466675
11,0,28.0,41.0,13.0,44,0.06700953096151352,3.480243444442749,0.00010579301306279376,1.0190407037734985,0.8384911417961121
