batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration
0,0,41.0,41.0,0.0,0,0.01910005323588848,4.782413482666016,2.2605665435548872e-05,1.0046080350875854,0.34853827953338623
0,1,57.0,41.0,16.0,1,0.030245963484048843,4.301108360290527,4.165529026067816e-05,1.0432586669921875,0.5074084997177124
0,2,61.0,41.0,20.0,2,0.022656751796603203,4.484038352966309,3.344225842738524e-05,1.0098319053649902,0.43689030408859253
0,3,55.0,41.0,14.0,3,0.03227812424302101,4.3295369148254395,4.2497948015807196e-05,1.04037606716156,0.5229461193084717
1,0,91.0,41.0,50.0,4,0.013835816644132137,5.183990478515625,1.1341584468027577e-05,1.0473253726959229,0.13267722725868225
1,1,70.0,41.0,29.0,5,0.032271530479192734,4.204395294189453,4.569204611470923e-05,1.0631495714187622,0.5208470821380615
1,2,92.0,41.0,51.0,6,0.009574927389621735,5.55005407333374,5.426983534562169e-06,1.025888442993164,0.1105593591928482
1,3,77.0,41.0,36.0,7,0.027479207143187523,4.3821516036987305,3.9004076825222e-05,1.0199834108352661,0.4807835817337036
2,0,81.0,41.0,40.0,8,0.030269073322415352,4.507102012634277,3.7403329770313576e-05,1.0203711986541748,0.484918475151062
2,1,54.0,41.0,13.0,9,0.028102261945605278,4.468440532684326,3.515217758831568e-05,1.0317829847335815,0.46177998185157776
2,2,92.0,41.0,51.0,10,0.02135516330599785,4.742830276489258,2.593207682366483e-05,1.0012965202331543,0.27260124683380127
2,3,81.0,41.0,40.0,11,0.02207624353468418,4.832483291625977,2.4010787456063554e-05,1.0353131294250488,0.3609048128128052
3,0,77.0,41.0,36.0,12,0.03111036866903305,4.203674793243408,4.559060471365228e-05,1.024003267288208,0.5247935056686401
3,1,53.0,41.0,12.0,13,0.01602245308458805,5.051292896270752,1.4536763046635315e-05,1.0005378723144531,0.2825125753879547
3,2,88.0,41.0,47.0,14,0.024262752383947372,4.845403671264648,2.7124699045089073e-05,1.0069615840911865,0.3914773464202881
3,3,72.0,41.0,31.0,15,0.034663524478673935,4.074679851531982,5.155140024726279e-05,1.0342624187469482,0.5758911967277527
4,0,92.0,41.0,51.0,16,0.03463780879974365,4.184205055236816,4.988454020349309e-05,1.0341758728027344,0.4574611783027649
4,1,77.0,41.0,36.0,17,0.030699364840984344,4.345010280609131,4.167210136074573e-05,1.0013785362243652,0.5118655562400818
4,2,70.0,41.0,29.0,18,0.01641729846596718,5.006977081298828,1.5112642358872108e-05,1.116775393486023,0.2580992579460144
4,3,91.0,41.0,50.0,19,0.022112715989351273,4.872592926025391,2.3706588763161562e-05,1.0522472858428955,0.2799193263053894
5,0,77.0,41.0,36.0,20,0.022656243294477463,4.74970006942749,2.631350616866257e-05,1.0339282751083374,0.38404273986816406
5,1,77.0,41.0,36.0,21,0.029730644077062607,4.325830459594727,4.085454929736443e-05,1.0287026166915894,0.49919214844703674
5,2,55.0,41.0,14.0,22,0.03213740512728691,4.201067924499512,4.571253157337196e-05,1.0587114095687866,0.533668041229248
5,3,72.0,41.0,31.0,23,0.01882276125252247,4.759589195251465,2.4770619347691536e-05,1.0216960906982422,0.33912187814712524
6,0,53.0,41.0,12.0,24,0.015650730580091476,4.977903366088867,1.6310348655679263e-05,1.052815318107605,0.2775435149669647
6,1,81.0,41.0,40.0,25,0.02728000283241272,4.514159202575684,3.534973438945599e-05,1.0110787153244019,0.4591028392314911
6,2,81.0,41.0,40.0,26,0.040642064064741135,3.939321279525757,6.293283513514325e-05,1.025810718536377,0.6668680310249329
6,3,81.0,41.0,40.0,27,0.019536660984158516,4.953823566436768,2.0055120330653153e-05,1.0022050142288208,0.3195294141769409
7,0,77.0,41.0,36.0,28,0.028887121006846428,4.457755088806152,3.853278394672088e-05,1.02829110622406,0.4942994713783264
7,1,72.0,41.0,31.0,29,0.022388722747564316,4.822756767272949,2.3655926270294003e-05,1.0065089464187622,0.3647334575653076
7,2,91.0,41.0,50.0,30,0.03089020401239395,4.501993656158447,3.772003037738614e-05,1.054882287979126,0.41018104553222656
7,3,77.0,41.0,36.0,31,0.032163940370082855,4.179651737213135,4.666599852498621e-05,1.0105723142623901,0.5191612243652344
8,0,72.0,41.0,31.0,32,0.018155505880713463,4.793109893798828,2.2924343284103088e-05,1.0101252794265747,0.3178790807723999
8,1,77.0,41.0,36.0,33,0.019379207864403725,4.962015151977539,2.0088444216526113e-05,1.038360357284546,0.33488744497299194
8,2,81.0,41.0,40.0,34,0.027503205463290215,4.722986698150635,3.0441802664427087e-05,1.0989031791687012,0.4478156268596649
8,3,77.0,41.0,36.0,35,0.031367771327495575,4.234860420227051,4.561702371574938e-05,1.0082416534423828,0.5416074395179749
9,0,88.0,41.0,47.0,36,0.02964445948600769,4.54796028137207,3.752387783606537e-05,1.0554472208023071,0.4557771682739258
9,1,53.0,41.0,12.0,37,0.019113115966320038,4.834934711456299,2.094505362038035e-05,1.0790399312973022,0.3240363597869873
9,2,91.0,41.0,50.0,38,0.018048888072371483,5.046309471130371,1.773713120201137e-05,1.016481876373291,0.25114214420318604
9,3,76.0,41.0,35.0,39,0.03052152507007122,4.32912540435791,4.198166789137758e-05,1.0194355249404907,0.5138974785804749
10,0,70.0,41.0,29.0,40,0.027189206331968307,4.307117938995361,4.090955189894885e-05,1.0655040740966797,0.473273903131485
10,1,72.0,41.0,31.0,41,0.024722883477807045,4.323175430297852,3.9218401070684195e-05,1.008770227432251,0.43477171659469604
10,2,77.0,41.0,36.0,42,0.0321056954562664,4.243955612182617,4.505071774474345e-05,1.0084893703460693,0.5352704524993896
10,3,81.0,41.0,40.0,43,0.02935977838933468,4.408880233764648,3.981510235462338e-05,1.0336347818374634,0.5073134303092957
11,0,72.0,41.0,31.0,44,0.024143455550074577,4.688094615936279,2.7301146474201232e-05,1.0248554944992065,0.3952506184577942
11,1,72.0,41.0,31.0,45,0.022756613790988922,4.568220138549805,3.153507350361906e-05,1.0262017250061035,0.40891650319099426
11,2,70.0,41.0,29.0,46,0.023014092817902565,4.458592414855957,3.5220509744249284e-05,1.0364248752593994,0.4161488711833954
11,3,53.0,41.0,12.0,47,0.027680877596139908,4.4878950119018555,3.468671638984233e-05,1.0245295763015747,0.4657042622566223
12,0,72.0,41.0,31.0,48,0.02868514321744442,4.241656303405762,4.320671723689884e-05,1.0101423263549805,0.5013703107833862
12,1,80.0,41.0,39.0,49,0.03593337535858154,4.136628150939941,5.087672980153002e-05,1.0123400688171387,0.5853027105331421
12,2,88.0,41.0,47.0,50,0.03943738341331482,3.991121768951416,5.978513945592567e-05,1.0191822052001953,0.6233899593353271
12,3,77.0,41.0,36.0,51,0.035980358719825745,4.1806321144104,4.9464593757875264e-05,1.038223385810852,0.5683386325836182
13,0,70.0,41.0,29.0,52,0.03004642203450203,4.5304179191589355,3.451951124588959e-05,1.088667631149292,0.46450692415237427
13,1,55.0,41.0,14.0,53,0.0368533693253994,4.088401794433594,5.161317312740721e-05,1.0510358810424805,0.5748127102851868
13,2,81.0,41.0,40.0,54,0.03411488234996796,4.3261027336120605,4.48324644821696e-05,1.0085519552230835,0.5339634418487549
13,3,55.0,41.0,14.0,55,0.02641340345144272,4.300059795379639,4.07494735554792e-05,1.0454607009887695,0.4521389305591583
14,0,77.0,41.0,36.0,56,0.03141693025827408,4.344573020935059,4.2594507249305025e-05,1.0118881464004517,0.5269089937210083
14,1,55.0,41.0,14.0,57,0.023727204650640488,4.569572448730469,3.132731217192486e-05,1.0419270992279053,0.40304598212242126
14,2,80.0,41.0,39.0,58,0.02684084326028824,4.572694301605225,3.320378527860157e-05,1.0077409744262695,0.4520498514175415
14,3,55.0,41.0,14.0,59,0.03006601892411709,4.30332088470459,4.148203879594803e-05,1.0404605865478516,0.5076736211776733
15,0,81.0,41.0,40.0,60,0.023058267310261726,4.5811076164245605,3.099969035247341e-05,1.0035490989685059,0.4137674570083618
15,1,72.0,41.0,31.0,61,0.026207363232970238,4.478070259094238,3.5675187973538414e-05,1.0384433269500732,0.45857614278793335
15,2,53.0,41.0,12.0,62,0.0318727046251297,4.2781572341918945,4.303156674723141e-05,1.0172277688980103,0.5235934853553772
15,3,72.0,41.0,31.0,63,0.016065336763858795,4.865005016326904,1.9229846657253802e-05,1.0200518369674683,0.28447115421295166
16,0,70.0,41.0,29.0,64,0.02968667261302471,4.183520793914795,4.524935138761066e-05,1.021124243736267,0.5161619782447815
16,1,48.0,41.0,7.0,65,0.018492676317691803,4.916046142578125,1.8314061890123412e-05,1.0501998662948608,0.3152196705341339
16,2,70.0,41.0,29.0,66,0.023988401517271996,4.434378623962402,3.5991877666674554e-05,1.026206135749817,0.42913979291915894
16,3,54.0,41.0,13.0,67,0.015568481758236885,4.963098526000977,1.6697687897249125e-05,1.0563262701034546,0.2806437015533447
17,0,81.0,41.0,40.0,68,0.027491899207234383,4.756943702697754,3.0171144317137077e-05,1.1144418716430664,0.44977155327796936
17,1,72.0,41.0,31.0,69,0.040117379277944565,3.971618175506592,5.953216532361694e-05,1.0131481885910034,0.6338082551956177
17,2,72.0,41.0,31.0,70,0.030238280072808266,4.284331321716309,4.2820407543331385e-05,1.0332695245742798,0.5204713344573975
17,3,177.0,180.0,3.0,71,0.09190880507230759,3.323782444000244,0.00013808773655910045,1.0166758298873901,0.8663424253463745
18,0,181.0,180.0,1.0,72,0.05668369308114052,3.779444456100464,8.209567749872804e-05,1.0319442749023438,0.7398046255111694
18,1,182.0,180.0,2.0,73,0.039411891251802444,4.189538955688477,5.062263153376989e-05,1.023800253868103,0.5859131813049316
18,2,177.0,180.0,3.0,74,0.07271245121955872,3.483712673187256,0.000113874782982748,1.0294427871704102,0.8173737525939941
18,3,181.0,180.0,1.0,75,0.06630418449640274,3.6471381187438965,9.519474406260997e-05,1.013925552368164,0.7852243185043335
19,0,179.0,180.0,1.0,76,0.0601830817759037,3.6765494346618652,9.152427810477093e-05,1.00227689743042,0.7771511673927307
19,1,179.0,180.0,1.0,77,0.06672021746635437,3.54689359664917,0.00010480740456841886,1.055152177810669,0.814824104309082
19,2,179.0,180.0,1.0,78,0.04742731153964996,3.9384567737579346,6.805717566749081e-05,1.0215468406677246,0.6797116994857788
19,3,181.0,180.0,1.0,79,0.0741785317659378,3.4145047664642334,0.00011962715507252142,1.0635632276535034,0.8548679351806641
20,0,179.0,180.0,1.0,80,0.07330372184515,3.43501877784729,0.00011858280777232721,1.0041817426681519,0.8480274677276611
20,1,179.0,180.0,1.0,81,0.07799995690584183,3.3934731483459473,0.00012424068700056523,1.0421384572982788,0.857583224773407
20,2,179.0,180.0,1.0,82,0.0751953050494194,3.487575054168701,0.0001147922666859813,1.06570565700531,0.8348650932312012
20,3,179.0,180.0,1.0,83,0.08183972537517548,3.340742588043213,0.00013168879377190024,1.0256649255752563,0.8697483539581299
21,0,176.0,180.0,4.0,84,0.05895044654607773,3.873434066772461,7.517027552239597e-05,1.0564695596694946,0.6906765103340149
21,1,176.0,180.0,4.0,85,0.10067307949066162,3.329519033432007,0.00014068535529077053,1.0319969654083252,0.860317051410675
21,2,176.0,180.0,4.0,86,0.04216041415929794,4.106377601623535,5.588026760960929e-05,1.0300225019454956,0.6095752120018005
21,3,181.0,180.0,1.0,87,0.05699993297457695,3.8112215995788574,7.91086713434197e-05,1.0023874044418335,0.7274878025054932
22,0,179.0,180.0,1.0,88,0.03024815209209919,4.42522668838501,3.7113761209184304e-05,1.0607091188430786,0.4802757203578949
22,1,179.0,180.0,1.0,89,0.049951378256082535,3.912498950958252,7.001123594818637e-05,1.0044764280319214,0.6953434944152832
22,2,177.0,180.0,3.0,90,0.09032090753316879,3.395878791809082,0.00012923183385282755,1.0003662109375,0.8516306281089783
22,3,177.0,180.0,3.0,91,0.06064079329371452,3.660888910293579,9.327314182883129e-05,1.018460988998413,0.7699191570281982
23,0,176.0,180.0,4.0,92,0.0639994665980339,3.740248680114746,8.590104698669165e-05,1.0351756811141968,0.7494432926177979
23,1,179.0,180.0,1.0,93,0.06991568952798843,3.5247936248779297,0.00010869221296161413,1.0032930374145508,0.820589542388916
23,2,179.0,180.0,1.0,94,0.07231629639863968,3.4840242862701416,0.00011392994929337874,1.02434504032135,0.8335592746734619
23,3,181.0,180.0,1.0,95,0.05731970816850662,3.794666290283203,8.019145752768964e-05,1.033503532409668,0.7328748106956482
24,0,179.0,180.0,1.0,96,0.051933664828538895,3.822817325592041,7.685422315262258e-05,1.0276297330856323,0.7220609188079834
24,1,179.0,180.0,1.0,97,0.07007726281881332,3.521453380584717,0.00010779859439935535,1.0877283811569214,0.8240413665771484
