batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration
0,0,49.0,41.0,8.0,0,0.010921231471002102,5.192998886108398,1.003509260044666e-05,1.0268211364746094,0.1902502030134201
0,1,25.0,41.0,16.0,1,0.03388701379299164,4.019901752471924,5.273755232337862e-05,1.023095726966858,0.5811209678649902
0,2,3.0,41.0,38.0,2,0.015143259428441525,4.95323371887207,1.6001724361558445e-05,1.0867737531661987,0.220574289560318
0,3,35.0,41.0,6.0,3,0.025324052199721336,4.40033483505249,3.531838228809647e-05,1.028725266456604,0.4497178792953491
1,0,72.0,41.0,31.0,4,0.03836088627576828,4.149937629699707,5.501981286215596e-05,1.0090276002883911,0.6220679879188538
1,1,29.0,41.0,12.0,5,0.021153699606657028,4.406536102294922,3.378680776222609e-05,1.0114636421203613,0.3829435110092163
1,2,76.0,41.0,35.0,6,0.016318371519446373,5.219120502471924,1.3336956726561766e-05,1.0275520086288452,0.2808687686920166
1,3,14.0,41.0,27.0,7,0.034461941570043564,3.949552059173584,5.749821139033884e-05,1.024807095527649,0.6089391708374023
2,0,75.0,41.0,34.0,8,0.013142005540430546,5.256734371185303,1.0638042112987023e-05,1.053046464920044,0.23099802434444427
2,1,32.0,41.0,9.0,9,0.02252846397459507,4.449069499969482,3.299509990029037e-05,1.0217443704605103,0.425223708152771
2,2,17.0,41.0,24.0,10,0.019605882465839386,4.581650733947754,3.0136432542349212e-05,1.0072413682937622,0.373601496219635
2,3,29.0,41.0,12.0,11,0.01877949945628643,4.591904640197754,2.719669100770261e-05,1.0475801229476929,0.33987224102020264
3,0,29.0,41.0,12.0,12,0.02511059306561947,4.343204975128174,3.692966129165143e-05,1.0312738418579102,0.44946736097335815
3,1,29.0,41.0,12.0,13,0.02640674076974392,4.295290470123291,3.74093433492817e-05,1.0869004726409912,0.44215846061706543
3,2,8.0,41.0,33.0,14,0.021103763952851295,4.798267364501953,2.390393456153106e-05,1.0251973867416382,0.3346644341945648
3,3,29.0,41.0,12.0,15,0.04732717573642731,3.7779555320739746,7.306088809855282e-05,1.0255154371261597,0.721137285232544
4,0,41.0,41.0,0.0,16,0.024658681824803352,4.309778690338135,3.791681956499815e-05,1.0030869245529175,0.4589739143848419
4,1,3.0,41.0,38.0,17,0.0267654936760664,4.676190376281738,2.790698636090383e-05,1.0578759908676147,0.34717294573783875
4,2,29.0,41.0,12.0,18,0.021115295588970184,4.451254367828369,3.1833333196118474e-05,1.0602487325668335,0.3935513198375702
4,3,4.0,41.0,37.0,19,0.04482871666550636,4.159402847290039,5.740604319726117e-05,1.0371310710906982,0.5193521976470947
5,0,49.0,41.0,8.0,20,0.02368505671620369,4.652135848999023,2.8129559723311104e-05,1.038712501525879,0.40815237164497375
5,1,3.0,41.0,38.0,21,0.02800758183002472,4.40170431137085,3.777426900342107e-05,1.0310354232788086,0.35256728529930115
5,2,339.0,41.0,62.0,22,0.011665325611829758,5.101432800292969,1.1851720955746714e-05,1.0290474891662598,0.2228144407272339
5,3,70.0,41.0,29.0,23,0.010166680440306664,5.2451887130737305,9.357380804431159e-06,1.0118465423583984,0.13928963243961334
6,0,27.0,41.0,14.0,24,0.02956848405301571,4.303915023803711,4.013615762232803e-05,1.0213342905044556,0.4904075562953949
6,1,8.0,41.0,33.0,25,0.033405859023332596,4.199223518371582,4.873745274380781e-05,1.0097500085830688,0.5303829312324524
