idx,filename,fs,n_channels,n_samples,gt_angle_deg,srp_angle_deg,abs_err_deg,status
0,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0069.wav,16000,9,41136,41.44058697629461,33.49999999999999,7.940586976294611,ok
1,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0287.wav,16000,9,48656,41.4405869762946,23.5,17.940586976294583,ok
2,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0039.wav,16000,9,65056,41.44058697629461,24.000000000000004,17.44058697629461,ok
3,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0228.wav,16000,9,41120,41.44058697629461,28.0,13.440586976294611,ok
4,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0201.wav,16000,9,46784,41.44058697629461,22.0,19.44058697629461,ok
5,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0172.wav,16000,9,63120,41.44058697629461,25.5,15.940586976294611,ok
6,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0288.wav,16000,9,27792,41.44058697629462,126.0,84.55941302370536,ok
7,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0060.wav,16000,9,72016,41.44058697629461,24.000000000000004,17.44058697629461,ok
8,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0242.wav,16000,9,31616,41.44058697629463,24.000000000000004,17.44058697629464,ok
9,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0191.wav,16000,9,53152,41.44058697629462,29.000000000000004,12.440586976294611,ok
10,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0071.wav,16000,9,43152,41.44058697629461,170.5,129.05941302370536,ok
11,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0219.wav,16000,9,48656,41.44058697629461,19.5,21.94058697629461,ok
12,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0156.wav,16000,9,74608,41.44058697629461,25.0,16.44058697629461,ok
13,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0151.wav,16000,9,45776,41.44058697629461,91.5,50.05941302370539,ok
14,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0229.wav,16000,9,32128,41.44058697629463,25.0,16.44058697629464,ok
15,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0170.wav,16000,9,77296,41.44058697629461,17.000000000000004,24.44058697629461,ok
16,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0021.wav,16000,9,67664,41.44058697629461,26.5,14.940586976294611,ok
17,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0161.wav,16000,9,54624,41.44058697629461,27.0,14.440586976294611,ok
18,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0026.wav,16000,9,62432,41.44058697629462,305.0,96.44058697629464,ok
19,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0110.wav,16000,9,36048,41.44058697629463,39.0,2.4405869762946395,ok
20,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0131.wav,16000,9,41568,41.44058697629461,26.5,14.940586976294611,ok
21,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0163.wav,16000,9,54032,41.44058697629461,24.5,16.94058697629461,ok
22,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0202.wav,16000,9,72736,41.44058697629461,25.0,16.44058697629461,ok
23,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0230.wav,16000,9,44016,41.44058697629461,26.5,14.940586976294611,ok
24,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0296.wav,16000,9,39392,41.44058697629462,293.0,108.44058697629464,ok
25,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0152.wav,16000,9,45472,41.44058697629461,31.0,10.440586976294611,ok
26,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0203.wav,16000,9,59104,41.44058697629461,24.5,16.94058697629461,ok
