idx,filename,fs,n_channels,n_samples,gt_angle_deg,srp_angle_deg,abs_err_deg,status
25,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0152.wav,16000,9,45472,41.44058697629461,40.5,0.9405869762946112,ok
154,test/ma_noisy_speech/BadmintonCourt2/static/P0006/TEST_S_BAD2_P0006_P0006W0168.wav,16000,9,49536,103.67827052444952,104.0,0.3217294755504838,ok
429,test/ma_noisy_speech/Car-Gasoline/static/P0006/TEST_S_CARG_P0006_P0006W0309.wav,16000,9,46336,180.5,181.49999999999997,0.9999999999999716,ok
664,test/ma_noisy_speech/OfficeRoom3/static/P0006/TEST_S_OFR3_P0006_P0006W0308.wav,16000,9,47680,135.2726011924342,135.5,0.2273988075658053,ok
744,test/ma_noisy_speech/OfficeRoom3/static/P0006/TEST_S_OFR3_P0006_P0006W0238.wav,16000,9,35280,88.35553988560883,87.5,0.8555398856088345,ok
861,test/ma_noisy_speech/OfficeRoom2/static/0023/TEST_S_OFR2_0023_0262.wav,16000,9,194747,36.38219298897479,36.0,0.3821929889747935,ok
870,test/ma_noisy_speech/OfficeRoom2/static/0023/TEST_S_OFR2_0023_0160.wav,16000,9,21202,36.38219298897479,36.5,0.1178070110252065,ok
877,test/ma_noisy_speech/OfficeRoom2/static/0023/TEST_S_OFR2_0023_0024.wav,16000,9,33914,36.38219298897479,37.0,0.6178070110252065,ok
896,test/ma_noisy_speech/Classroom2/static/0023/TEST_S_CLA2_0023_0024.wav,16000,9,33914,36.72052187629732,37.0,0.2794781237026882,ok
982,test/ma_noisy_speech/Classroom2/static/0023/TEST_S_CLA2_0023_0227.wav,16000,9,126040,14.29688933277254,14.0,0.2968893327725368,ok
1047,test/ma_noisy_speech/UndergroundParking2/static/0023/TEST_S_UND2_0023_0178.wav,16000,9,17441,113.27738095050286,114.0,0.7226190494971547,ok
1124,test/ma_noisy_speech/UndergroundParking2/static/0023/TEST_S_UND2_0023_0252.wav,16000,9,108260,62.57265405920783,63.0,0.4273459407921791,ok
1163,test/ma_noisy_speech/BadmintonCourt2/static/0023/TEST_S_BAD2_0023_0215.wav,16000,9,63828,28.814193043991104,28.5,0.3141930439911107,ok
1310,test/ma_noisy_speech/BasketballCourt1/static/0023/TEST_S_BAS1_0023_0024.wav,16000,9,33914,54.43201860306274,53.5,0.932018603062744,ok
1382,test/ma_noisy_speech/OfficeLobby/static/0023/TEST_S_OFFL_0023_0138.wav,16000,9,17441,136.70280684549357,136.5,0.2028068454935692,ok
1418,test/ma_noisy_speech/OfficeRoom2/static/0036/TEST_S_OFR2_0036_0208.wav,16000,9,70320,100.64825261685564,101.5,0.8517473831443567,ok
1442,test/ma_noisy_speech/OfficeRoom2/static/0036/TEST_S_OFR2_0036_0294.wav,16000,9,44480,100.64825261685564,100.5,0.1482526168556432,ok
1479,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0433.wav,16000,9,212720,81.77546579294908,81.5,0.2754657929490918,ok
1497,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0031.wav,16000,9,65844,81.77546579294908,81.0,0.7754657929490918,ok
1592,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0584.wav,16000,9,104000,12.285564663979985,13.0,0.7144353360200171,ok
1629,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0387.wav,16000,9,72320,349.35746528131176,349.5,0.142534718688239,ok
1648,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0059.wav,16000,9,107126,349.3574652813118,349.0,0.3574652813118177,ok
1649,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0203.wav,16000,9,70400,349.3574652813118,349.0,0.3574652813118177,ok
1661,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0078.wav,16000,9,48483,349.35746528131176,350.0,0.6425347186882391,ok
1713,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0488.wav,16000,9,233680,43.10068013264163,43.49999999999999,0.399319867358372,ok
1723,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0263.wav,16000,9,14960,43.10068013264163,43.49999999999999,0.399319867358372,ok
1743,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0482.wav,16000,9,34880,43.10068013264163,43.0,0.100680132641628,ok
1748,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0444.wav,16000,9,82160,43.10068013264163,44.0,0.899319867358372,ok
1751,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0115.wav,16000,9,48083,43.10068013264163,42.5,0.600680132641628,ok
1752,test/ma_noisy_speech/Library/static/0036/TEST_S_LIBR_0036_0409.wav,16000,9,17760,43.10068013264163,44.0,0.899319867358372,ok
1812,test/ma_noisy_speech/UndergroundParking2/static/0036/TEST_S_UND2_0036_0268.wav,16000,9,16720,118.58005879613684,118.0,0.5800587961368251,ok
1885,test/ma_noisy_speech/BadmintonCourt2/static/0036/TEST_S_BAD2_0036_0523.wav,16000,9,197840,47.35101209602416,47.0,0.3510120960241636,ok
1969,test/ma_noisy_speech/BadmintonCourt2/static/0036/TEST_S_BAD2_0036_0098.wav,16000,9,170490,95.37311011720271,95.5,0.1268898827972862,ok
2111,test/ma_noisy_speech/Cafeteria1/static/0036/TEST_S_CAF1_0036_0305.wav,16000,9,45520,44.28949342105263,43.49999999999999,0.7894934210526401,ok
2131,test/ma_noisy_speech/Cafeteria1/static/0036/TEST_S_CAF1_0036_0003.wav,16000,9,127528,61.443961737373726,60.5,0.9439617373737406,ok
2234,test/ma_noisy_speech/BasketballCourt1/static/0036/TEST_S_BAS1_0036_0305.wav,16000,9,45520,334.69839611320765,334.5,0.1983961132076501,ok
2235,test/ma_noisy_speech/BasketballCourt1/static/0036/TEST_S_BAS1_0036_0184.wav,16000,9,79600,334.6983961132075,335.5,0.8016038867925204,ok
2240,test/ma_noisy_speech/BasketballCourt1/static/0036/TEST_S_BAS1_0036_0542.wav,16000,9,175760,325.4524833333334,324.5,0.9524833333334186,ok
2249,test/ma_noisy_speech/BasketballCourt1/static/0036/TEST_S_BAS1_0036_0220.wav,16000,9,70800,49.33811081481481,49.5,0.1618891851852026,ok
2277,test/ma_noisy_speech/BasketballCourt1/static/0036/TEST_S_BAS1_0036_0228.wav,16000,9,63200,59.48369877303372,59.5,0.0163012269662772,ok
2282,test/ma_noisy_speech/BasketballCourt1/static/0036/TEST_S_BAS1_0036_0187.wav,16000,9,68320,75.24213490018484,74.5,0.7421349001848512,ok
2291,test/ma_noisy_speech/BasketballCourt1/static/0036/TEST_S_BAS1_0036_0203.wav,16000,9,70400,104.63792563750005,104.0,0.6379256375000466,ok
2303,test/ma_noisy_speech/BasketballCourt1/static/0036/TEST_S_BAS1_0036_0318.wav,16000,9,51840,181.870592,181.49999999999997,0.3705920000000162,ok
2371,test/ma_noisy_speech/OfficeRoom2/static/0010/TEST_S_OFR2_0010_0077.wav,16000,9,151920,68.94058019439073,68.5,0.4405801943907477,ok
2375,test/ma_noisy_speech/OfficeRoom2/static/0010/TEST_S_OFR2_0010_0031.wav,16000,9,186239,68.94058019439075,68.0,0.9405801943907476,ok
2444,test/ma_noisy_speech/UndergroundParking2/static/0010/TEST_S_UND2_0010_0086.wav,16000,9,177360,46.36183842912451,47.0,0.6381615708754964,ok
2661,test/ma_noisy_speech/OfficeRoom4/static/0010/TEST_S_OFR4_0010_0059.wav,16000,9,94160,63.77823524305756,63.0,0.7782352430575656,ok
2668,test/ma_noisy_speech/OfficeRoom4/static/0010/TEST_S_OFR4_0010_0108.wav,16000,9,53440,63.77823524305754,63.50000000000001,0.2782352430575372,ok
2688,test/ma_noisy_speech/OfficeRoom4/static/0010/TEST_S_OFR4_0010_0029.wav,16000,9,147520,50.39643804229903,50.5,0.1035619577009754,ok
2690,test/ma_noisy_speech/OfficeRoom4/static/0010/TEST_S_OFR4_0010_0183.wav,16000,9,62880,50.396438042299,50.5,0.1035619577010038,ok
2708,test/ma_noisy_speech/BasketballCourt1/static/0010/TEST_S_BAS1_0010_0183.wav,16000,9,62880,4.940972337732656,5.0,0.05902766226734,ok
2736,test/ma_noisy_speech/BasketballCourt1/static/0010/TEST_S_BAS1_0010_0168.wav,16000,9,144879,352.4027924763904,352.0,0.4027924763904025,ok
3178,test/ma_noisy_speech/LivingRoom5/static/P0002/TEST_S_LIV5_P0002_P0002W0021.wav,16000,9,86480,74.39176536719576,75.0,0.6082346328042263,ok
3192,test/ma_noisy_speech/LivingRoom5/static/P0002/TEST_S_LIV5_P0002_P0002W0187.wav,16000,9,42752,57.618213003002985,58.00000000000001,0.3817869969970218,ok
3351,test/ma_noisy_speech/Car-Electric/static/P0002/TEST_S_CARE_P0002_P0002W0098.wav,16000,9,55456,178.5,179.0,0.5,ok
3357,test/ma_noisy_speech/Car-Electric/static/P0002/TEST_S_CARE_P0002_P0002W0181.wav,16000,9,77088,178.5,178.5,0.0,ok
3415,test/ma_noisy_speech/Car-Electric/static/P0002/TEST_S_CARE_P0002_P0002W0226.wav,16000,9,52000,178.5,178.0,0.5,ok
3518,test/ma_noisy_speech/Car-Electric/static/P0002/TEST_S_CARE_P0002_P0002W0114.wav,16000,9,105776,178.5,179.0,0.5,ok
3713,test/ma_noisy_speech/LivingRoom4/static/P0002/TEST_S_LIV4_P0002_P0002W0055.wav,16000,9,47776,74.39176536719577,74.5,0.1082346328042263,ok
3728,test/ma_noisy_speech/LivingRoom4/static/P0002/TEST_S_LIV4_P0002_P0002W0196.wav,16000,9,68688,57.61813837935176,58.5,0.8818616206482375,ok
3811,test/ma_noisy_speech/Classroom3/static/0245/TEST_S_CLA3_0245_0339.wav,16000,9,144160,64.13524536783301,64.0,0.1352453678330221,ok
3822,test/ma_noisy_speech/Classroom3/static/0245/TEST_S_CLA3_0245_0174.wav,16000,9,121287,64.135245367833,64.5,0.3647546321670063,ok
3894,test/ma_noisy_speech/Classroom3/static/0245/TEST_S_CLA3_0245_0257.wav,16000,9,174000,62.158748146167056,61.50000000000001,0.6587481461670563,ok
3901,test/ma_noisy_speech/Classroom3/static/0245/TEST_S_CLA3_0245_0346.wav,16000,9,37280,62.15874814616704,61.50000000000001,0.6587481461670279,ok
3908,test/ma_noisy_speech/Classroom3/static/0245/TEST_S_CLA3_0245_0159.wav,16000,9,123341,62.15874814616708,61.50000000000001,0.6587481461670563,ok
3909,test/ma_noisy_speech/Classroom3/static/0245/TEST_S_CLA3_0245_0467.wav,16000,9,83200,62.15874814616704,62.50000000000001,0.3412518538329721,ok
3922,test/ma_noisy_speech/Classroom3/static/0245/TEST_S_CLA3_0245_0158.wav,16000,9,187025,62.15874814616705,61.50000000000001,0.6587481461670563,ok
3925,test/ma_noisy_speech/Classroom3/static/0245/TEST_S_CLA3_0245_0298.wav,16000,9,123440,62.15874814616708,62.50000000000001,0.3412518538329436,ok
3944,test/ma_noisy_speech/Classroom3/static/0245/TEST_S_CLA3_0245_0391.wav,16000,9,207280,128.57246660580526,128.5,0.0724666058052605,ok
3993,test/ma_noisy_speech/Classroom3/static/0245/TEST_S_CLA3_0245_0470.wav,16000,9,68400,73.18662478948897,72.5,0.6866247894889739,ok
4271,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0108.wav,16000,9,93098,14.560592575891588,14.500000000000002,0.0605925758915759,ok
4277,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0456.wav,16000,9,232560,14.560592575891585,15.5,0.939407424108424,ok
4289,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0193.wav,16000,9,212305,14.560592575891588,14.0,0.560592575891576,ok
4308,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0362.wav,16000,9,131600,14.560592575891585,14.999999999999998,0.439407424108424,ok
4311,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0151.wav,16000,9,88005,80.12853824181491,81.0,0.8714617581850916,ok
4321,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0469.wav,16000,9,73600,80.12853824181494,80.5,0.3714617581850632,ok
4322,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0247.wav,16000,9,73360,80.12853824181495,81.0,0.8714617581850348,ok
4327,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0074.wav,16000,9,71791,80.12853824181494,80.5,0.3714617581850632,ok
4330,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0051.wav,16000,9,87925,80.12853824181491,81.0,0.8714617581850916,ok
4342,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0164.wav,16000,9,53683,80.12853824181494,80.5,0.3714617581850632,ok
4346,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0072.wav,16000,9,160810,80.1285382418149,80.5,0.3714617581850916,ok
4349,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0250.wav,16000,9,36880,80.12853824181497,79.5,0.6285382418149652,ok
4363,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0156.wav,16000,9,183745,31.923410977656825,31.0,0.9234109776568288,ok
4368,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0153.wav,16000,9,56723,31.92341097765683,32.0,0.0765890223431711,ok
4376,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0130.wav,16000,9,188597,31.92341097765681,32.0,0.0765890223431995,ok
4385,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0104.wav,16000,9,169770,31.923410977656825,32.5,0.5765890223431711,ok
4387,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0349.wav,16000,9,99120,31.923410977656832,32.5,0.5765890223431711,ok
4396,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0066.wav,16000,9,26001,31.923410977656825,31.499999999999993,0.4234109776568289,ok
4398,test/ma_noisy_speech/LivingRoom4/static/0245/TEST_S_LIV4_0245_0242.wav,16000,9,48323,31.92341097765681,32.5,0.5765890223431995,ok
