idx,filename,fs,n_channels,n_samples,gt_angle_deg,srp_angle_deg,abs_err_deg,status
0,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0069.wav,16000,9,41136,41.44058697629461,200.49999999999997,159.05941302370536,ok
1,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0287.wav,16000,9,48656,41.4405869762946,201.99999999999997,160.55941302370536,ok
2,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0039.wav,16000,9,65056,41.44058697629461,73.0,31.55941302370539,ok
3,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0228.wav,16000,9,41120,41.44058697629461,90.0,48.55941302370539,ok
4,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0201.wav,16000,9,46784,41.44058697629461,59.00000000000001,17.55941302370539,ok
5,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0172.wav,16000,9,63120,41.44058697629461,314.5,86.94058697629464,ok
6,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0288.wav,16000,9,27792,41.44058697629462,101.0,59.55941302370539,ok
7,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0060.wav,16000,9,72016,41.44058697629461,112.5,71.05941302370539,ok
8,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0242.wav,16000,9,31616,41.44058697629463,202.49999999999997,161.05941302370536,ok
9,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0191.wav,16000,9,53152,41.44058697629462,157.5,116.05941302370536,ok
10,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0071.wav,16000,9,43152,41.44058697629461,107.5,66.05941302370539,ok
11,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0219.wav,16000,9,48656,41.44058697629461,135.5,94.05941302370536,ok
12,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0156.wav,16000,9,74608,41.44058697629461,313.0,88.44058697629464,ok
13,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0151.wav,16000,9,45776,41.44058697629461,247.5,153.94058697629464,ok
14,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0229.wav,16000,9,32128,41.44058697629463,201.99999999999997,160.55941302370536,ok
15,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0170.wav,16000,9,77296,41.44058697629461,115.49999999999999,74.05941302370536,ok
16,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0021.wav,16000,9,67664,41.44058697629461,258.5,142.94058697629464,ok
17,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0161.wav,16000,9,54624,41.44058697629461,43.0,1.559413023705389,ok
18,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0026.wav,16000,9,62432,41.44058697629462,201.00000000000003,159.55941302370542,ok
19,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0110.wav,16000,9,36048,41.44058697629463,309.0,92.44058697629464,ok
20,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0131.wav,16000,9,41568,41.44058697629461,260.0,141.44058697629464,ok
21,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0163.wav,16000,9,54032,41.44058697629461,332.0,69.44058697629464,ok
22,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0202.wav,16000,9,72736,41.44058697629461,258.5,142.94058697629464,ok
23,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0230.wav,16000,9,44016,41.44058697629461,201.99999999999997,160.55941302370536,ok
24,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0296.wav,16000,9,39392,41.44058697629462,90.0,48.55941302370539,ok
25,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0152.wav,16000,9,45472,41.44058697629461,135.5,94.05941302370536,ok
26,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0203.wav,16000,9,59104,41.44058697629461,23.0,18.44058697629461,ok
27,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0301.wav,16000,9,29088,41.44058697629462,328.5,72.94058697629464,ok
28,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0055.wav,16000,9,58240,41.44058697629461,337.5,63.94058697629464,ok
29,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0261.wav,16000,9,73280,41.44058697629461,149.0,107.55941302370536,ok
30,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0084.wav,16000,9,59984,41.44058697629461,202.49999999999997,161.05941302370536,ok
31,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0153.wav,16000,9,76656,41.44058697629461,53.00000000000001,11.559413023705389,ok
32,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0297.wav,16000,9,50304,41.44058697629462,90.5,49.05941302370539,ok
33,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0180.wav,16000,9,40928,41.44058697629461,143.5,102.05941302370536,ok
34,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0280.wav,16000,9,35472,41.44058697629463,201.5,160.05941302370536,ok
35,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0214.wav,16000,9,60720,41.44058697629461,98.5,57.05941302370539,ok
36,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0105.wav,16000,9,37872,41.44058697629462,202.49999999999997,161.05941302370536,ok
37,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0036.wav,16000,9,32720,41.44058697629463,337.0,64.44058697629464,ok
38,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0254.wav,16000,9,40256,41.44058697629461,113.0,71.55941302370539,ok
