combination_id,run_time_sec,phase,is_full_dataset,n_dft_bins,n_avg_samples,srp_grid_cells,freq_min,freq_max,mae,median_error,p95_error,n_samples,success_rate
0,297.69340991973877,1,False,16384,1,360,200,3000,26.423665463064438,6.999999999999972,103.83456856428445,100,1.0
1,8625.691640138626,1,False,16384,1,360,200,4000,23.48156251189447,6.477941246392575,98.62754788187617,100,1.0
2,294.86535000801086,1,False,16384,1,360,300,3000,33.21110000363332,6.945882683597873,129.3804227878237,100,1.0
3,727.6942780017853,1,False,16384,1,360,300,4000,24.878700458988416,4.804117316402099,110.8385527564599,100,1.0
4,558.5466377735138,1,False,16384,5,360,200,3000,26.423665463064438,6.999999999999972,103.83456856428445,100,1.0
5,299.4762499332428,1,False,16384,5,360,200,4000,23.48156251189447,6.477941246392575,98.62754788187617,100,1.0
6,296.5457317829132,1,False,16384,5,360,300,3000,33.21110000363332,6.945882683597873,129.3804227878237,100,1.0
7,296.8551597595215,1,False,16384,5,360,300,4000,24.878700458988416,4.804117316402099,110.8385527564599,100,1.0
8,297.8064761161804,1,False,16384,10,360,200,3000,26.423665463064438,6.999999999999972,103.83456856428445,100,1.0
9,302.0100212097168,1,False,16384,10,360,200,4000,23.48156251189447,6.477941246392575,98.62754788187617,100,1.0
10,298.74686908721924,1,False,16384,10,360,300,3000,33.21110000363332,6.945882683597873,129.3804227878237,100,1.0
11,298.6407980918884,1,False,16384,10,360,300,4000,24.878700458988416,4.804117316402099,110.8385527564599,100,1.0
12,299.752338886261,1,False,16384,50,360,200,3000,26.423665463064438,6.999999999999972,103.83456856428445,100,1.0
13,298.48058795928955,1,False,16384,50,360,200,4000,23.48156251189447,6.477941246392575,98.62754788187617,100,1.0
14,298.8974380493164,1,False,16384,50,360,300,3000,33.21110000363332,6.945882683597873,129.3804227878237,100,1.0
15,298.40309500694275,1,False,16384,50,360,300,4000,24.878700458988416,4.804117316402099,110.8385527564599,100,1.0
